Index,Random Seed,#,Property,Actual,Predicted,Uncertainty,K_fold
0,1,0.0,Total Thermal Conductivity (W/mK),2.700000047683716,3.465216636657715,0.0709418654441833,1
1,1,1.0,Total Thermal Conductivity (W/mK),2.3299999237060547,2.8921053409576416,0.0430366173386573,1
2,1,2.0,Total Thermal Conductivity (W/mK),2.0199999809265137,2.348444938659668,0.0337907746434211,1
3,1,3.0,Total Thermal Conductivity (W/mK),1.7999999523162842,2.0345571041107178,0.0259920824319124,1
4,1,4.0,Total Thermal Conductivity (W/mK),1.590000033378601,1.817190170288086,0.0230490528047084,1
5,1,10.0,Total Thermal Conductivity (W/mK),1.1100000143051147,1.0189989805221558,0.0116461543366312,1
6,1,11.0,Total Thermal Conductivity (W/mK),1.1299999952316284,1.138392210006714,0.0105147780850529,1
7,1,12.0,Total Thermal Conductivity (W/mK),2.8499999046325684,2.9682259559631348,0.0680201351642608,2
8,1,13.0,Total Thermal Conductivity (W/mK),2.4600000381469727,2.7343339920043945,0.0533517226576805,2
9,1,14.0,Total Thermal Conductivity (W/mK),2.130000114440918,2.3419694900512695,0.0497461222112178,2
10,1,15.0,Total Thermal Conductivity (W/mK),1.840000033378601,1.993030309677124,0.0347877852618694,2
11,1,16.0,Total Thermal Conductivity (W/mK),1.6299999952316284,1.660380244255066,0.0279222894459962,2
12,1,17.0,Total Thermal Conductivity (W/mK),1.4700000286102295,1.507148027420044,0.0245515406131744,2
13,1,18.0,Total Thermal Conductivity (W/mK),1.3300000429153442,1.3923213481903076,0.0208425838500261,2
14,1,23.0,Total Thermal Conductivity (W/mK),1.149999976158142,1.1735689640045166,0.0174551606178283,2
15,1,24.0,Total Thermal Conductivity (W/mK),3.2200000286102295,3.262815475463867,0.0704303681850433,2
16,1,25.0,Total Thermal Conductivity (W/mK),2.690000057220459,3.0337345600128174,0.0559106320142746,2
17,1,26.0,Total Thermal Conductivity (W/mK),2.309999942779541,2.6048855781555176,0.0504505038261413,2
18,1,27.0,Total Thermal Conductivity (W/mK),1.9900000095367432,2.2140302658081055,0.0378264598548412,2
19,1,28.0,Total Thermal Conductivity (W/mK),1.809999942779541,1.917083740234375,0.0333001874387264,2
20,1,29.0,Total Thermal Conductivity (W/mK),1.559999942779541,1.7008041143417358,0.0276263318955898,2
21,1,30.0,Total Thermal Conductivity (W/mK),1.4199999570846558,1.5393149852752686,0.0226683057844638,2
22,1,31.0,Total Thermal Conductivity (W/mK),1.340000033378601,1.3981627225875854,0.0219441875815391,2
23,1,33.0,Total Thermal Conductivity (W/mK),1.1699999570846558,1.3556170463562012,0.0204086750745773,2
24,1,36.0,Total Thermal Conductivity (W/mK),3.299999952316284,3.00346040725708,0.0586094111204147,5
25,1,37.0,Total Thermal Conductivity (W/mK),2.950000047683716,2.573953151702881,0.0497394874691963,5
26,1,38.0,Total Thermal Conductivity (W/mK),2.549999952316284,2.1830637454986572,0.0350336916744709,5
27,1,39.0,Total Thermal Conductivity (W/mK),2.2300000190734863,1.9182604551315308,0.0285949893295764,5
28,1,40.0,Total Thermal Conductivity (W/mK),1.9600000381469729,1.7584083080291748,0.0301115904003381,5
29,1,41.0,Total Thermal Conductivity (W/mK),1.75,1.537473201751709,0.0255959965288639,5
30,1,42.0,Total Thermal Conductivity (W/mK),1.5800000429153442,1.3701666593551636,0.0227603390812873,5
31,1,43.0,Total Thermal Conductivity (W/mK),1.4299999475479126,1.3049795627593994,0.0251135677099227,5
32,1,48.0,Total Thermal Conductivity (W/mK),3.009999990463257,3.1361074447631836,0.071845568716526,4
33,1,59.0,Total Thermal Conductivity (W/mK),1.2000000476837158,1.258281707763672,0.0195720009505748,4
34,1,61.0,Total Thermal Conductivity (W/mK),1.409999966621399,1.0421574115753174,0.0173881109803915,1
35,1,66.0,Total Thermal Conductivity (W/mK),1.059999942779541,0.6922042369842529,0.0071095405146479,1
36,1,67.0,Total Thermal Conductivity (W/mK),1.6100000143051147,3.5113368034362793,0.1982128471136093,3
37,1,68.0,Total Thermal Conductivity (W/mK),1.3600000143051147,2.454902172088623,0.0964452028274536,3
