model_name,property,random_seed,r2_mean,r2_se,mae_mean,mae_se,rmse_mean,rmse_se
MT CrabNet concat_at_input,k,"1, 42, 88, 123, 1201",0.7974709923835079,0.008973088319991357,0.43641610021896776,0.007357287159691384,0.972831251736379,0.03157020830795842
MT CrabNet tile_at_input,k,"1, 42, 88, 123, 1201",0.7893947120284847,0.011127218421274364,0.4296455036478919,0.0076900613020832636,0.9953228861632628,0.04038035070613265
MT CrabNet concat_at_output,k,"1, 42, 88, 123, 1201",0.7965523076122616,0.011079566033281583,0.4378132263463514,0.008995954531850535,0.9750435303657161,0.03655985394962035
MT CrabNet concat_at_input,ke,"1, 42, 88, 123, 1201",0.6505473356703757,0.020598960659436345,0.21935229684960994,0.006933002576677094,0.391082248687541,0.011888040357774748
MT CrabNet tile_at_input,ke,"1, 42, 88, 123, 1201",0.6430586838049364,0.021463227851364352,0.21923613760785382,0.00735405681251682,0.3955431341051514,0.013280433854568927
MT CrabNet concat_at_output,ke,"1, 42, 88, 123, 1201",0.6478144116726752,0.02052846445387741,0.2238692152286375,0.007767550222814652,0.39502472224558394,0.014477177659166554
MT CrabNet concat_at_input,kl,"1, 42, 88, 123, 1201",0.7566837353474919,0.012800363265095052,0.37463258254769244,0.013229107075153004,0.8595375814509005,0.03424696633164245
MT CrabNet tile_at_input,kl,"1, 42, 88, 123, 1201",0.7421090670514715,0.014319367934628752,0.38170946351837054,0.013336092746097322,0.8835306688132474,0.03624531450737332
MT CrabNet concat_at_output,kl,"1, 42, 88, 123, 1201",0.7474045021985976,0.015169909003920814,0.3814755455332222,0.013070877822518045,0.8733221060299218,0.0358382942777949
MT CrabNet concat_at_input,sigma,"1, 42, 88, 123, 1201",0.7315928894678781,0.01583309167911581,235.3930698358397,4.391814812039865,494.3983964795767,14.452040445576955
MT CrabNet tile_at_input,sigma,"1, 42, 88, 123, 1201",0.722171112238012,0.015583988298302306,235.96896253335473,4.031533945751846,503.22971470476966,13.878328987968718
MT CrabNet concat_at_output,sigma,"1, 42, 88, 123, 1201",0.733033251489871,0.013284486365430809,241.60389159237883,4.372005908272145,494.84423065696325,13.436597244159259
MT CrabNet concat_at_input,S,"1, 42, 88, 123, 1201",0.8066993039758573,0.011603530774407556,45.34725631598885,0.8438874995755967,89.71504241811192,2.619474991483289
MT CrabNet tile_at_input,S,"1, 42, 88, 123, 1201",0.8109296798095076,0.008335693967193136,44.811313875526885,0.743589294822852,89.07429801501524,2.0529167301750477
MT CrabNet concat_at_output,S,"1, 42, 88, 123, 1201",0.7808171908893616,0.01512463878771203,48.12614599640428,1.029337517365677,95.2337739964101,3.122792604447761
MT CrabNet concat_at_input,PF,"1, 42, 88, 123, 1201",0.8326994084496154,0.0066133284094348115,2.4638299051379886,0.044815506116365,4.48805087448535,0.10993083936608006
MT CrabNet tile_at_input,PF,"1, 42, 88, 123, 1201",0.8254498258336683,0.007886620121439848,2.476114639318412,0.05257569558006349,4.580368800696055,0.12681164794411373
MT CrabNet concat_at_output,PF,"1, 42, 88, 123, 1201",0.8213182116132012,0.00662141169186594,2.577933618805393,0.0422878052532383,4.635484899635788,0.10272572419555441
MT CrabNet concat_at_input,zT,"1, 42, 88, 123, 1201",0.8291741108820374,0.006585308234084551,0.10754983179819576,0.0017435801121313602,0.1801799836908139,0.0045118430012827835
MT CrabNet tile_at_input,zT,"1, 42, 88, 123, 1201",0.823307643372213,0.007171477634016434,0.10888639213248096,0.0015918920943036256,0.18288424705182707,0.004294238024211003
MT CrabNet concat_at_output,zT,"1, 42, 88, 123, 1201",0.823463655264988,0.0061593672303266855,0.11105916276330179,0.0016690404868069237,0.18305106274484387,0.00373631654426999
