K_Fold,Random Seed,Actual,Predicted,#,reduced_compositions
1,123,1.44,1.4694714671553353,1.0,Ga0.025Te1Pb0.975
1,123,1.26,1.291680183551367,2.0,Ga0.025Te1Pb0.975
1,123,1.14,1.1581492703072522,3.0,Ga0.025Te1Pb0.975
1,123,1.02,1.040263735527042,4.0,Ga0.025Te1Pb0.975
1,123,0.83,0.7668249419210176,10.0,Ga0.025Te1Pb0.975
1,123,0.86,0.766374452329216,11.0,Ga0.025Te1Pb0.975
1,123,1.6,1.5016947306331934,12.0,Zn0.0025Ga0.025Te1.0025Pb0.975
1,123,1.32,1.4525312642970414,13.0,Zn0.0025Ga0.025Te1.0025Pb0.975
1,123,1.15,1.2822406216235422,14.0,Zn0.0025Ga0.025Te1.0025Pb0.975
1,123,1.0,1.1625129552302396,15.0,Zn0.0025Ga0.025Te1.0025Pb0.975
1,123,0.9,1.0456565332365122,16.0,Zn0.0025Ga0.025Te1.0025Pb0.975
1,123,0.81,0.9983347655379092,17.0,Zn0.0025Ga0.025Te1.0025Pb0.975
1,123,0.76,0.8831328128861995,18.0,Zn0.0025Ga0.025Te1.0025Pb0.975
1,123,0.78,0.7638679981769305,23.0,Zn0.0025Ga0.025Te1.0025Pb0.975
1,123,1.29,1.5006778439395627,24.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,1.04,1.4515143776034107,25.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,0.9,1.278011449406443,26.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,0.81,1.1569026636712734,27.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,0.72,1.043170696771247,28.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,0.67,0.9961660256048075,29.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,0.62,0.88165557571081,30.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,0.57,0.8385293711755794,31.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,0.59,0.7834966685230923,33.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,0.269,0.3066359877434058,150.0,Al0.1Bi2Se3
1,123,0.249,0.28582945392202536,151.0,Al0.1Bi2Se3
1,123,0.227,0.271076997676887,152.0,Al0.1Bi2Se3
1,123,0.207,0.26559346318364163,153.0,Al0.1Bi2Se3
1,123,2.68,2.1965849413587213,257.0,Co4Cu0.3Sb11.7Te0.3
1,123,2.51,2.187873051077275,258.0,Co4Cu0.3Sb11.7Te0.3
1,123,2.31,2.0882438269629073,259.0,Co4Cu0.3Sb11.7Te0.3
1,123,2.16,1.9516068457649822,260.0,Co4Cu0.3Sb11.7Te0.3
1,123,2.0,1.8784808319862192,261.0,Co4Cu0.3Sb11.7Te0.3
1,123,1.85,1.810874029868589,262.0,Co4Cu0.3Sb11.7Te0.3
1,123,1.75,1.7576021979545247,263.0,Co4Cu0.3Sb11.7Te0.3
1,123,1.64,1.7243721312922802,264.0,Co4Cu0.3Sb11.7Te0.3
1,123,1.56,1.718830611835845,265.0,Co4Cu0.3Sb11.7Te0.3
1,123,1.54,1.7185410797845633,266.0,Co4Cu0.3Sb11.7Te0.3
1,123,1.54,1.7181094885147217,267.0,Co4Cu0.3Sb11.7Te0.3
1,123,1.53,1.7175525607742976,268.0,Co4Cu0.3Sb11.7Te0.3
1,123,1.51,1.71746384282558,269.0,Co4Cu0.3Sb11.7Te0.3
1,123,3.25,3.3188770661398155,318.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,123,3.15,3.1424339731974076,319.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,123,3.07,3.0341832815058045,320.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,123,2.96,2.997516421837782,321.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,123,2.94,2.9387781633892547,322.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,123,2.85,2.8744871007085524,323.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,123,2.78,2.832804347991486,324.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,123,1.058,0.6427365263221103,437.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,123,0.8679,0.6216798475916663,438.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,123,0.7274,0.5785778213219283,439.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,123,0.6325,0.5520323088982114,440.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,123,0.5666,0.5460105699866035,441.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,123,0.4956,0.5449330152268036,442.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,123,0.4765,0.5436300308293669,443.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,123,0.4647,0.5420774424027509,444.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,123,0.4527,0.5412875298587508,445.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,123,0.4647,0.5412875298587508,446.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,123,0.4618,0.5412875298587508,447.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,123,1.538,0.830319737644421,487.0,Sb0.012Te0.5Pb0.99S0.5
1,123,1.361,0.7808848109776128,488.0,Sb0.012Te0.5Pb0.99S0.5
1,123,1.201,0.7012487269374003,489.0,Sb0.012Te0.5Pb0.99S0.5
1,123,1.037,0.680757950669292,490.0,Sb0.012Te0.5Pb0.99S0.5
1,123,0.9444,0.6521578165989028,491.0,Sb0.012Te0.5Pb0.99S0.5
1,123,0.8438,0.6392454972617461,492.0,Sb0.012Te0.5Pb0.99S0.5
1,123,0.7577,0.6114524371682634,493.0,Sb0.012Te0.5Pb0.99S0.5
1,123,0.7122,0.6028636797478185,494.0,Sb0.012Te0.5Pb0.99S0.5
1,123,0.6937,0.59730643822817,495.0,Sb0.012Te0.5Pb0.99S0.5
1,123,0.6877,0.5921422391847415,496.0,Sb0.012Te0.5Pb0.99S0.5
