K_Fold,Random Seed,Actual,Predicted,#,reduced_compositions
1,123,0.3929,0.29264133388117003,0.0,Ga0.025Te1Pb0.975
1,123,0.47641,0.3782599894842739,1.0,Ga0.025Te1Pb0.975
1,123,0.62685,0.4858923323390555,2.0,Ga0.025Te1Pb0.975
1,123,0.7659,0.5857088559728801,3.0,Ga0.025Te1Pb0.975
1,123,0.89504,0.6825459051249201,4.0,Ga0.025Te1Pb0.975
1,123,1.1468,1.058532073686331,10.0,Ga0.025Te1Pb0.975
1,123,1.0707,1.123245119668035,11.0,Ga0.025Te1Pb0.975
1,123,0.25784,0.30553877719409583,24.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,0.39835,0.3835990888266584,25.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,0.54877,0.5030981519671941,26.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,0.72126,0.6541832053964952,27.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,0.87998,0.7708497978837748,28.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,1.012,0.907997069234524,29.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,1.1675,1.0402170709767407,30.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,1.3203,1.0468571095778747,31.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,1.4783,1.1374667493187673,33.0,Zn0.005Ga0.025Te1.005Pb0.975
1,123,0.0206,0.036009189627199345,104.0,Zn0.98269957W0.0879531O1.22212745
1,123,0.075,0.08666318063404066,296.0,Co4Cu0.3Sb11.1Te0.9
1,123,0.093,0.10172026148264707,297.0,Co4Cu0.3Sb11.1Te0.9
1,123,0.11,0.12589998452505125,298.0,Co4Cu0.3Sb11.1Te0.9
1,123,0.14,0.1449172353579419,299.0,Co4Cu0.3Sb11.1Te0.9
1,123,0.16,0.1646402794678449,300.0,Co4Cu0.3Sb11.1Te0.9
1,123,0.19,0.20735668120636985,301.0,Co4Cu0.3Sb11.1Te0.9
1,123,0.22,0.243129092027375,302.0,Co4Cu0.3Sb11.1Te0.9
1,123,0.25,0.27663558704338104,303.0,Co4Cu0.3Sb11.1Te0.9
1,123,0.29,0.3235134818514587,304.0,Co4Cu0.3Sb11.1Te0.9
1,123,0.33,0.3601757747569218,305.0,Co4Cu0.3Sb11.1Te0.9
1,123,0.35,0.40301077465936197,306.0,Co4Cu0.3Sb11.1Te0.9
1,123,0.39,0.44467079140569854,307.0,Co4Cu0.3Sb11.1Te0.9
1,123,0.43,0.4972972087543647,308.0,Co4Cu0.3Sb11.1Te0.9
1,123,0.0843,0.0609955006741831,309.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,123,0.0954,0.0842220171061589,310.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,123,0.108,0.10521779480789144,311.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,123,0.11,0.13900180195855116,312.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,123,0.116,0.1895636969937708,313.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,123,0.124,0.22704343021102968,314.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,123,0.122,0.25715456572503276,316.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,123,0.1545,0.3451781179299087,425.0,Sb0.012Te0.1Pb0.99Se0.8S0.1
1,123,0.2394,0.4018581969464571,426.0,Sb0.012Te0.1Pb0.99Se0.8S0.1
1,123,0.3514,0.5200300193331043,427.0,Sb0.012Te0.1Pb0.99Se0.8S0.1
1,123,0.4925,0.6970702967812312,428.0,Sb0.012Te0.1Pb0.99Se0.8S0.1
1,123,0.646,0.8832464994248562,429.0,Sb0.012Te0.1Pb0.99Se0.8S0.1
1,123,0.7789,0.9810361094458943,430.0,Sb0.012Te0.1Pb0.99Se0.8S0.1
1,123,0.8471,1.0455239262902718,431.0,Sb0.012Te0.1Pb0.99Se0.8S0.1
1,123,0.8969,1.1499502630824254,432.0,Sb0.012Te0.1Pb0.99Se0.8S0.1
1,123,0.9336,1.238433458969735,433.0,Sb0.012Te0.1Pb0.99Se0.8S0.1
1,123,1.016,1.3101403809472776,434.0,Sb0.012Te0.1Pb0.99Se0.8S0.1
1,123,0.1054,0.1183058206880287,474.0,Sb0.012Te0.4Pb0.99Se0.2S0.4
1,123,0.2748,0.21219213869682949,476.0,Sb0.012Te0.4Pb0.99Se0.2S0.4
1,123,0.3875,0.3252102692210177,477.0,Sb0.012Te0.4Pb0.99Se0.2S0.4
1,123,0.5277,0.42460975729387324,478.0,Sb0.012Te0.4Pb0.99Se0.2S0.4
1,123,0.6823,0.5800735677134378,479.0,Sb0.012Te0.4Pb0.99Se0.2S0.4
1,123,0.8323,0.7336881643274723,480.0,Sb0.012Te0.4Pb0.99Se0.2S0.4
1,123,0.9599,0.8847145664138041,481.0,Sb0.012Te0.4Pb0.99Se0.2S0.4
1,123,1.054,0.9802206886988158,482.0,Sb0.012Te0.4Pb0.99Se0.2S0.4
1,123,0.1021,0.16511914969981345,501.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,0.1678,0.2417091340798817,502.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,0.2634,0.4244049548440945,503.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,0.4043,0.5456618192206011,504.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,0.5762,0.7274523148680946,505.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,0.7866,0.9140997665367352,506.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,1.135,1.1177479371610235,507.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,1.258,1.240509959279649,508.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,1.406,1.3310981353050118,509.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,1.46,1.4130971876964344,510.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,1.533,1.488646834066072,511.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,1.546,1.5571110834822397,512.0,Sn0.05Sb0.012Te0.25Pb0.94Se0.5S0.25
1,123,0.014,0.09346089479285759,566.0,Cr0.03Fe0.97Se2
1,123,0.035,0.11094801940336575,567.0,Cr0.03Fe0.97Se2
1,123,0.057,0.1412626015482639,568.0,Cr0.03Fe0.97Se2
1,123,0.077,0.1595296460205159,569.0,Cr0.03Fe0.97Se2
1,123,0.21349,0.2735880331755192,672.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,0.24608,0.290275456008868,673.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,0.298,0.43845383135772786,674.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
1,123,0.43929,0.5762170122410557,675.0,Ca0.00271283Cu0.8590627Bi0.03978817Pb0.00271283Se0.45213826C0.00166518O0.04521383
