K_Fold,Random Seed,Actual,Predicted,#,reduced_compositions
1,1,32.61,16.433544958401253,0.0,Ga0.025Te1Pb0.975
1,1,32.09,16.993744903852182,1.0,Ga0.025Te1Pb0.975
1,1,31.81,17.399448371095914,2.0,Ga0.025Te1Pb0.975
1,1,30.44,17.325120264693517,3.0,Ga0.025Te1Pb0.975
1,1,28.41,16.914834926632164,4.0,Ga0.025Te1Pb0.975
1,1,16.67,15.005602620398404,10.0,Ga0.025Te1Pb0.975
1,1,15.14,14.857047672117082,11.0,Ga0.025Te1Pb0.975
1,1,1.18,12.348407193026715,61.0,Cd0.02Te0.98
1,1,1.41,8.942771388796382,66.0,Cd0.02Te0.98
1,1,8.68,6.806147905509649,74.0,Sn0.02Te0.98
1,1,7.59,6.873348200566908,75.0,Sn0.02Te0.98
1,1,3.18,4.1806399928358555,80.0,Sn0.02Te0.98
1,1,1.14,12.532054844606009,81.0,Zn0.02Te0.98
1,1,1.92,1.5661310071625112,97.0,Zn0.92128085W0.10994137O1.2205657
1,1,6.15,1.433481045598296,104.0,Zn0.98269957W0.0879531O1.22212745
1,1,2.78,2.8537758286700323,161.0,Al0.15Bi2Se3
1,1,3.09,3.295770960506102,162.0,Al0.15Bi2Se3
1,1,3.41,3.6073208229274965,163.0,Al0.15Bi2Se3
1,1,3.7,4.090492037534193,164.0,Al0.15Bi2Se3
1,1,3.85,4.406468216715144,165.0,Al0.15Bi2Se3
1,1,8.077,12.066449564746184,257.0,Co4Cu0.3Sb11.7Te0.3
1,1,8.846,12.493405290493195,258.0,Co4Cu0.3Sb11.7Te0.3
1,1,9.769,13.23222079488129,259.0,Co4Cu0.3Sb11.7Te0.3
1,1,10.154,14.3017564082302,260.0,Co4Cu0.3Sb11.7Te0.3
1,1,10.846,14.81408285913746,261.0,Co4Cu0.3Sb11.7Te0.3
1,1,11.385,15.465582731493521,262.0,Co4Cu0.3Sb11.7Te0.3
1,1,12.0,16.201491412544904,263.0,Co4Cu0.3Sb11.7Te0.3
1,1,12.385,16.984227856424226,264.0,Co4Cu0.3Sb11.7Te0.3
1,1,13.077,18.26459520818999,265.0,Co4Cu0.3Sb11.7Te0.3
1,1,13.69,19.49824110275086,266.0,Co4Cu0.3Sb11.7Te0.3
1,1,14.0,20.10771615052377,267.0,Co4Cu0.3Sb11.7Te0.3
1,1,14.38,20.72465704300467,268.0,Co4Cu0.3Sb11.7Te0.3
1,1,14.85,21.07620146255921,269.0,Co4Cu0.3Sb11.7Te0.3
1,1,7.62,6.3096985381337465,296.0,Co4Cu0.3Sb11.1Te0.9
1,1,7.77,6.57833356582172,297.0,Co4Cu0.3Sb11.1Te0.9
1,1,8.15,7.1063001059947455,298.0,Co4Cu0.3Sb11.1Te0.9
1,1,8.85,7.755235285039647,299.0,Co4Cu0.3Sb11.1Te0.9
1,1,9.46,8.334184440403382,300.0,Co4Cu0.3Sb11.1Te0.9
1,1,10.15,9.23846848495805,301.0,Co4Cu0.3Sb11.1Te0.9
1,1,10.69,9.894383733113203,302.0,Co4Cu0.3Sb11.1Te0.9
1,1,11.23,10.610270169000692,303.0,Co4Cu0.3Sb11.1Te0.9
1,1,12.0,11.72476632175177,304.0,Co4Cu0.3Sb11.1Te0.9
1,1,12.92,12.815335949089548,305.0,Co4Cu0.3Sb11.1Te0.9
1,1,13.69,13.476180350406752,306.0,Co4Cu0.3Sb11.1Te0.9
1,1,14.54,14.239347436920081,307.0,Co4Cu0.3Sb11.1Te0.9
1,1,15.62,14.675312847838615,308.0,Co4Cu0.3Sb11.1Te0.9
1,1,8.5,6.920680996946321,309.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,1,8.37,7.849626467327302,310.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,1,8.29,8.271381048937958,311.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,1,7.41,8.533051821690897,312.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,1,6.97,8.867620067906092,313.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,1,6.63,8.996456100187237,314.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,1,5.2,9.476422530937125,316.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,1,8.97,7.044548826676723,318.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,1,10.12,8.182440128751235,319.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,1,11.09,9.21115923310111,320.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,1,12.24,10.042401702486337,321.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,1,12.79,11.061377582548829,322.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,1,13.7,11.869116788408785,323.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,1,14.0,12.557374019127993,324.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,1,9.70044243,4.463803046788135,354.0,AgSbTe2
1,1,9.34638561,4.838540476795824,355.0,AgSbTe2
1,1,9.56059349,5.24021228255804,356.0,AgSbTe2
1,1,9.93378241,5.474454105810985,357.0,AgSbTe2
1,1,10.2155171,5.8060684472591335,358.0,AgSbTe2
1,1,10.07875602,6.188944375150392,359.0,AgSbTe2
1,1,9.615559,6.6441825244608035,360.0,AgSbTe2
1,1,9.22600831,6.843650579114274,361.0,AgSbTe2
1,1,8.90946328,7.060282425259198,362.0,AgSbTe2
1,1,8.6551385,7.276322902534677,363.0,AgSbTe2
1,1,8.10399415,7.359059729520588,364.0,AgSbTe2
1,1,11.35401588,4.852758269398544,366.0,Cd0.02Ag1Sb0.98Te2
1,1,11.96279466,5.32779540714618,367.0,Cd0.02Ag1Sb0.98Te2
1,1,12.37132763,5.671412493836832,368.0,Cd0.02Ag1Sb0.98Te2
1,1,12.47695702,6.143110058132382,369.0,Cd0.02Ag1Sb0.98Te2
1,1,12.35029886,6.658684130354727,370.0,Cd0.02Ag1Sb0.98Te2
1,1,12.07137999,7.16922777857782,371.0,Cd0.02Ag1Sb0.98Te2
1,1,12.34315587,7.4909452115953865,372.0,Cd0.02Ag1Sb0.98Te2
1,1,12.59535398,7.789513989398039,373.0,Cd0.02Ag1Sb0.98Te2
1,1,12.65381389,8.156663411659736,374.0,Cd0.02Ag1Sb0.98Te2
1,1,12.99815084,8.242296657648563,375.0,Cd0.02Ag1Sb0.98Te2
1,1,13.95061527,4.45633175946668,387.0,Cd0.06Ag1Sb0.94Te2
1,1,14.67865603,4.911207721235038,388.0,Cd0.06Ag1Sb0.94Te2
1,1,15.56964417,5.419401105107862,389.0,Cd0.06Ag1Sb0.94Te2
1,1,16.27784067,5.820845326623652,390.0,Cd0.06Ag1Sb0.94Te2
1,1,16.60103734,6.322459917492472,391.0,Cd0.06Ag1Sb0.94Te2
1,1,16.90689924,6.959575097606077,392.0,Cd0.06Ag1Sb0.94Te2
1,1,17.36377045,7.545636699335596,393.0,Cd0.06Ag1Sb0.94Te2
1,1,17.76096664,7.921456883419395,394.0,Cd0.06Ag1Sb0.94Te2
1,1,18.19258948,8.219597477083145,395.0,Cd0.06Ag1Sb0.94Te2
1,1,18.45719713,8.615419491586048,396.0,Cd0.06Ag1Sb0.94Te2
1,1,17.95984836,8.701723035201752,397.0,Cd0.06Ag1Sb0.94Te2
1,1,6.39,9.062344929428878,437.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,1,7.987,9.561824620656589,438.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,1,9.806,11.039765774059562,439.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,1,11.59,12.295951626231702,440.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,1,12.8,13.369093667991116,441.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,1,13.6,13.97679866902283,442.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,1,13.56,14.083112030394867,443.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,1,12.72,13.667535074720334,444.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,1,12.44,13.182955344150132,445.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,1,12.5,12.666835332552346,446.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,1,12.78,12.407980056982288,447.0,Sb0.012Te0.2Pb0.99Se0.6S0.2
1,1,9.986,10.741341772808683,452.0,Sb0.012Te0.25Pb0.99Se0.5S0.25
1,1,11.76,12.00682649213881,453.0,Sb0.012Te0.25Pb0.99Se0.5S0.25
1,1,13.24,12.938580523825419,454.0,Sb0.012Te0.25Pb0.99Se0.5S0.25
1,1,13.73,13.495634374937728,455.0,Sb0.012Te0.25Pb0.99Se0.5S0.25
1,1,13.66,13.519270367558597,456.0,Sb0.012Te0.25Pb0.99Se0.5S0.25
1,1,13.04,13.35000179746032,457.0,Sb0.012Te0.25Pb0.99Se0.5S0.25
1,1,12.64,12.969665509670033,458.0,Sb0.012Te0.25Pb0.99Se0.5S0.25
1,1,12.56,12.600207258907766,459.0,Sb0.012Te0.25Pb0.99Se0.5S0.25
1,1,12.14,12.353393068931755,460.0,Sb0.012Te0.25Pb0.99Se0.5S0.25
1,1,2.22,1.636374860466051,552.0,FeSe2
1,1,1.93,2.1735903933804845,557.0,FeSe2
1,1,4.25,3.3093103870047145,558.0,FeSe2
1,1,5.71,4.071791614423722,559.0,FeSe2
1,1,5.64,4.507833777087415,560.0,FeSe2
1,1,9.299804,8.9199689078816,588.0,Ca0.006Cu1.9Bi0.088Pb0.006Se1O0.1
1,1,9.334584999999999,9.01397619279025,589.0,Ca0.006Cu1.9Bi0.088Pb0.006Se1O0.1
1,1,9.148035,8.653247445277184,590.0,Ca0.006Cu1.9Bi0.088Pb0.006Se1O0.1
1,1,9.956548,9.383893769887619,591.0,Ca0.006Cu1.9Bi0.088Pb0.006Se1O0.1
1,1,10.65008,10.389396022955333,592.0,Ca0.006Cu1.9Bi0.088Pb0.006Se1O0.1
1,1,11.40136,11.015492681517296,593.0,Ca0.006Cu1.9Bi0.088Pb0.006Se1O0.1
1,1,11.84087,11.4910149618592,594.0,Ca0.006Cu1.9Bi0.088Pb0.006Se1O0.1
1,1,12.14762,11.737787574411614,595.0,Ca0.006Cu1.9Bi0.088Pb0.006Se1O0.1
1,1,12.36134,11.882080643491156,596.0,Ca0.006Cu1.9Bi0.088Pb0.006Se1O0.1
1,1,12.57133,11.939040487386698,597.0,Ca0.006Cu1.9Bi0.088Pb0.006Se1O0.1
1,1,12.39112,11.807440915742749,598.0,Ca0.006Cu1.9Bi0.088Pb0.006Se1O0.1
1,1,12.24493,11.55971391156272,599.0,Ca0.006Cu1.9Bi0.088Pb0.006Se1O0.1
1,1,12.81937,11.411686708712752,600.0,Ca0.006Cu1.9Bi0.088Pb0.006Se1O0.1
