K_Fold,Random Seed,Actual,Predicted,#,reduced_compositions
1,1,-129.88,-121.89505518116046,0.0,Ga0.025Te1Pb0.975
1,1,-149.5,-131.73237100401968,1.0,Ga0.025Te1Pb0.975
1,1,-170.36,-148.56809511454696,2.0,Ga0.025Te1Pb0.975
1,1,-189.41,-155.4309067895444,3.0,Ga0.025Te1Pb0.975
1,1,-202.93,-159.6202814473293,4.0,Ga0.025Te1Pb0.975
1,1,-253.27,-187.7349634875979,10.0,Ga0.025Te1Pb0.975
1,1,-254.51,-189.44054193214978,11.0,Ga0.025Te1Pb0.975
1,1,408.26,311.4142729249072,61.0,Cd0.02Te0.98
1,1,191.46,308.2722075742998,66.0,Cd0.02Te0.98
1,1,-263.28,33.37554667461934,89.0,Zn0.85986213W0.13192965O1.21900395
1,1,-333.59,16.210875958886426,97.0,Zn0.92128085W0.10994137O1.2205657
1,1,-134.5,-134.82169974889277,161.0,Al0.15Bi2Se3
1,1,-139.25,-138.47315443489472,162.0,Al0.15Bi2Se3
1,1,-143.25,-139.66770722923118,163.0,Al0.15Bi2Se3
1,1,-146.75,-141.36781368969085,164.0,Al0.15Bi2Se3
1,1,-150.25,-143.9308062776354,165.0,Al0.15Bi2Se3
1,1,-94.4,-135.37203371421793,296.0,Co4Cu0.3Sb11.1Te0.9
1,1,-96.0,-133.8711914167023,297.0,Co4Cu0.3Sb11.1Te0.9
1,1,-99.2,-138.61885398189267,298.0,Co4Cu0.3Sb11.1Te0.9
1,1,-104.0,-138.71762832703683,299.0,Co4Cu0.3Sb11.1Te0.9
1,1,-109.6,-139.7651138364588,300.0,Co4Cu0.3Sb11.1Te0.9
1,1,-114.4,-136.12940837687407,301.0,Co4Cu0.3Sb11.1Te0.9
1,1,-119.2,-135.6910401127539,302.0,Co4Cu0.3Sb11.1Te0.9
1,1,-123.2,-138.2467546149553,303.0,Co4Cu0.3Sb11.1Te0.9
1,1,-128.8,-139.97791071804517,304.0,Co4Cu0.3Sb11.1Te0.9
1,1,-136.0,-141.1832851987658,305.0,Co4Cu0.3Sb11.1Te0.9
1,1,-142.4,-141.47569255268658,306.0,Co4Cu0.3Sb11.1Te0.9
1,1,-148.0,-141.1058659546638,307.0,Co4Cu0.3Sb11.1Te0.9
1,1,-155.2,-140.79345403996012,308.0,Co4Cu0.3Sb11.1Te0.9
1,1,-254.76,-127.66927772811366,309.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,1,-263.1,-131.02476251099753,310.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,1,-280.95,-136.3900859015162,311.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,1,-295.24,-142.12854066978548,312.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,1,-313.1,-149.47744823366872,313.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,1,-332.14,-155.74131058044372,314.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,1,-375.0,-163.40388037610649,316.0,Ba0.33Sr0.33Ca0.33Ti1O3
1,1,-96.43,-106.45009728960953,318.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,1,-109.52,-111.15154563723902,319.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,1,-120.24,-122.90273630455717,320.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,1,-134.52,-136.30416309745448,321.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,1,-147.62,-146.35703049862974,322.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,1,-163.1,-152.58526166651558,323.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,1,-176.19,-157.39730744991084,324.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,1,283.27,222.6036402081268,354.0,AgSbTe2
1,1,297.77,224.97474779790593,355.0,AgSbTe2
1,1,313.8,229.32097842142974,356.0,AgSbTe2
1,1,330.55,231.87823495724703,357.0,AgSbTe2
1,1,349.37,235.0689338875561,358.0,AgSbTe2
1,1,358.09,237.20644679615916,359.0,AgSbTe2
1,1,356.84,238.30444890622698,360.0,AgSbTe2
1,1,354.39,238.20909188074455,361.0,AgSbTe2
1,1,350.72,238.24411820618863,362.0,AgSbTe2
1,1,340.89,238.68386983935252,363.0,AgSbTe2
1,1,328.5,238.63526100659826,364.0,AgSbTe2
1,1,274.33,261.90555979750576,366.0,Cd0.02Ag1Sb0.98Te2
1,1,288.88,266.67882005642434,367.0,Cd0.02Ag1Sb0.98Te2
1,1,298.44,269.6422931629806,368.0,Cd0.02Ag1Sb0.98Te2
1,1,306.31,272.561424993834,369.0,Cd0.02Ag1Sb0.98Te2
1,1,308.26,274.282766902346,370.0,Cd0.02Ag1Sb0.98Te2
1,1,309.88,275.12845909720033,371.0,Cd0.02Ag1Sb0.98Te2
1,1,311.95,275.0504998701495,372.0,Cd0.02Ag1Sb0.98Te2
1,1,313.8,274.618998468279,373.0,Cd0.02Ag1Sb0.98Te2
1,1,313.89,275.14190729100386,374.0,Cd0.02Ag1Sb0.98Te2
1,1,307.92,274.8332615769369,375.0,Cd0.02Ag1Sb0.98Te2
1,1,252.19,232.88361270093506,387.0,Cd0.06Ag1Sb0.94Te2
1,1,259.97,234.4828778531588,388.0,Cd0.06Ag1Sb0.94Te2
1,1,267.05,237.80002099506328,389.0,Cd0.06Ag1Sb0.94Te2
1,1,272.47,240.85357603366845,390.0,Cd0.06Ag1Sb0.94Te2
1,1,273.2,245.17640574248924,391.0,Cd0.06Ag1Sb0.94Te2
1,1,274.12,247.28634271301232,392.0,Cd0.06Ag1Sb0.94Te2
1,1,272.62,248.74856026067033,393.0,Cd0.06Ag1Sb0.94Te2
1,1,271.5,249.5735247335403,394.0,Cd0.06Ag1Sb0.94Te2
