K_Fold,Random Seed,Actual,Predicted,#,reduced_compositions
1,1,2.7,2.654183180400007,0.0,Ga0.025Te1Pb0.975
1,1,2.33,2.240812754240005,1.0,Ga0.025Te1Pb0.975
1,1,2.02,1.9850057242399954,2.0,Ga0.025Te1Pb0.975
1,1,1.8,1.7840637809066664,3.0,Ga0.025Te1Pb0.975
1,1,1.59,1.6184765452599925,4.0,Ga0.025Te1Pb0.975
1,1,1.11,1.141109006743602,10.0,Ga0.025Te1Pb0.975
1,1,1.13,1.1400428134102691,11.0,Ga0.025Te1Pb0.975
1,1,3.3,2.870058240000017,36.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,1,2.95,2.5051163600000126,37.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,1,2.55,2.215173999999986,38.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,1,2.23,1.945192266666668,39.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,1,1.96,1.747974999999984,40.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,1,1.75,1.545391319044654,41.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,1,1.58,1.4278962160532072,42.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,1,1.43,1.3579562778725038,43.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,1,1.41,1.327192790054002,61.0,Cd0.02Te0.98
1,1,1.06,1.149288020664098,66.0,Cd0.02Te0.98
1,1,1.74,1.8822505100440075,74.0,Sn0.02Te0.98
1,1,1.48,1.7926179428753393,75.0,Sn0.02Te0.98
1,1,1.08,1.4929892769953341,80.0,Sn0.02Te0.98
1,1,20.37,12.51070115999998,131.0,Zn1.16695574W0.02198827O1.22681271
1,1,0.839,0.7959942686910212,138.0,Bi2Se3
1,1,0.54178,0.859941566575568,354.0,AgSbTe2
1,1,0.53188,0.8468374548112493,355.0,AgSbTe2
1,1,0.51214,0.8375473018445809,356.0,AgSbTe2
1,1,0.48927,0.8334670637462811,357.0,AgSbTe2
1,1,0.46368,0.8327577912688504,358.0,AgSbTe2
1,1,0.45591,0.8213676015995696,359.0,AgSbTe2
1,1,0.45848,0.8120844835884674,360.0,AgSbTe2
1,1,0.46493,0.8214229380484679,361.0,AgSbTe2
1,1,0.47125,0.8223751922539307,362.0,AgSbTe2
1,1,0.49734,0.8275971844686695,363.0,AgSbTe2
