K_Fold,Random Seed,Actual,Predicted,#,reduced_compositions
1,42,2853.09,1336.6152181022949,36.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,42,2307.82,1105.4333348199998,37.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,42,1782.73,893.8783478522545,38.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,42,1386.31,678.2487823303838,39.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,42,1076.88,577.5414215946555,40.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,42,855.52,475.63224751979084,41.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,42,693.56,437.9930904552103,42.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,42,590.02,380.0796217448588,43.0,Zn0.0075Ga0.025Te1.0075Pb0.975
1,42,2696.12,1313.633207972297,48.0,Zn0.01Ga0.025Te1.01Pb0.975
1,42,261.41,295.8255032487991,59.0,Zn0.01Ga0.025Te1.01Pb0.975
1,42,5.8,69.32876139999938,81.0,Zn0.02Te0.98
1,42,12.94,59.62206747902839,89.0,Zn0.85986213W0.13192965O1.21900395
1,42,2719.65,529.937085487383,345.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.9Nb0.1O3
1,42,2474.28,518.463457317383,346.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.9Nb0.1O3
1,42,2219.65,494.45975971738204,347.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.9Nb0.1O3
1,42,1983.54,473.7984528273817,348.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.9Nb0.1O3
1,42,1756.69,470.37536680080535,349.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.9Nb0.1O3
1,42,1529.84,448.0289548408058,350.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.9Nb0.1O3
1,42,1321.5,427.1833676950106,351.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.9Nb0.1O3
1,42,1159.59,417.4396671255549,352.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.9Nb0.1O3
1,42,1006.82,407.4895071255549,353.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.9Nb0.1O3
1,42,150.87,209.78233849999654,366.0,Cd0.02Ag1Sb0.98Te2
