K_Fold,Random Seed,Actual,Predicted,#,reduced_compositions
1,88,0.04,0.12612174416756336,66.0,Cd0.02Te0.98
1,88,0.919,1.2508520690605633,244.0,Ge0.91Bi0.06Te1
1,88,1.02,1.2752095202277265,245.0,Ge0.91Bi0.06Te1
1,88,0.21,0.4323536259169811,257.0,Co4Cu0.3Sb11.7Te0.3
1,88,0.24,0.4498937326695771,258.0,Co4Cu0.3Sb11.7Te0.3
1,88,0.26,0.4583448116469532,259.0,Co4Cu0.3Sb11.7Te0.3
1,88,0.28,0.48796020331200324,260.0,Co4Cu0.3Sb11.7Te0.3
1,88,0.3,0.4962545923139819,261.0,Co4Cu0.3Sb11.7Te0.3
1,88,0.33,0.5110149500458187,262.0,Co4Cu0.3Sb11.7Te0.3
1,88,0.34,0.5246267195205736,263.0,Co4Cu0.3Sb11.7Te0.3
1,88,0.36,0.5507114820742367,264.0,Co4Cu0.3Sb11.7Te0.3
1,88,0.38,0.564702147730582,265.0,Co4Cu0.3Sb11.7Te0.3
1,88,0.39,0.573094073804747,266.0,Co4Cu0.3Sb11.7Te0.3
1,88,0.4,0.5868534113108619,267.0,Co4Cu0.3Sb11.7Te0.3
1,88,0.41,0.6029657200041045,268.0,Co4Cu0.3Sb11.7Te0.3
1,88,0.43,0.6228529708346574,269.0,Co4Cu0.3Sb11.7Te0.3
1,88,0.45,0.3932716690298348,283.0,Co4Cu0.3Sb11.3Te0.7
1,88,0.47,0.4085558518004504,284.0,Co4Cu0.3Sb11.3Te0.7
1,88,0.52,0.41575917108286625,285.0,Co4Cu0.3Sb11.3Te0.7
1,88,0.56,0.44478293461715757,286.0,Co4Cu0.3Sb11.3Te0.7
1,88,0.6,0.4527836698592345,287.0,Co4Cu0.3Sb11.3Te0.7
1,88,0.66,0.4661841966497688,288.0,Co4Cu0.3Sb11.3Te0.7
1,88,0.7,0.47925621111411987,289.0,Co4Cu0.3Sb11.3Te0.7
1,88,0.75,0.49948849382322225,290.0,Co4Cu0.3Sb11.3Te0.7
1,88,0.79,0.5145122678327495,291.0,Co4Cu0.3Sb11.3Te0.7
1,88,0.83,0.5234142494492954,292.0,Co4Cu0.3Sb11.3Te0.7
1,88,0.86,0.5358878215435635,293.0,Co4Cu0.3Sb11.3Te0.7
1,88,0.89,0.5525692519026377,294.0,Co4Cu0.3Sb11.3Te0.7
1,88,0.93,0.5714717721768424,295.0,Co4Cu0.3Sb11.3Te0.7
1,88,0.69,0.3787853423585916,296.0,Co4Cu0.3Sb11.1Te0.9
1,88,0.75,0.39339764945426553,297.0,Co4Cu0.3Sb11.1Te0.9
1,88,0.82,0.40103184193838015,298.0,Co4Cu0.3Sb11.1Te0.9
1,88,0.87,0.428707078981046,299.0,Co4Cu0.3Sb11.1Te0.9
1,88,0.91,0.4352346389365955,300.0,Co4Cu0.3Sb11.1Te0.9
1,88,0.97,0.4496729171358701,301.0,Co4Cu0.3Sb11.1Te0.9
1,88,1.02,0.4624081254197652,302.0,Co4Cu0.3Sb11.1Te0.9
1,88,1.05,0.4821760206916254,303.0,Co4Cu0.3Sb11.1Te0.9
1,88,1.09,0.49675129276145397,304.0,Co4Cu0.3Sb11.1Te0.9
1,88,1.13,0.505530742614319,305.0,Co4Cu0.3Sb11.1Te0.9
1,88,1.14,0.517632768878523,306.0,Co4Cu0.3Sb11.1Te0.9
1,88,1.18,0.5339089319544507,307.0,Co4Cu0.3Sb11.1Te0.9
1,88,1.21,0.5520186772189692,308.0,Co4Cu0.3Sb11.1Te0.9
1,88,0.893,0.8898319388287006,318.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,88,0.902,0.9296695966749059,319.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,88,0.893,0.9426384806393304,320.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,88,0.869,0.9458451315691808,321.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,88,0.82,0.9385824246438235,322.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,88,0.787,0.9156537408445666,323.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,88,0.746,0.8905080729351902,324.0,Ba0.3135Sr0.3135Ca0.3135La0.05Ti0.95Nb0.05O3
1,88,1.46,0.9614215489288465,327.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.95Nb0.05O3
1,88,1.52,1.015711410214057,328.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.95Nb0.05O3
1,88,1.56,1.0325721367571488,329.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.95Nb0.05O3
1,88,1.55,1.03456656599712,330.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.95Nb0.05O3
1,88,1.51,1.0257832985805553,331.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.95Nb0.05O3
1,88,1.43,0.9946493426206733,332.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.95Nb0.05O3
1,88,1.34,0.9623320556768078,333.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.95Nb0.05O3
1,88,1.26,0.917303808105997,334.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.95Nb0.05O3
1,88,1.16,0.9111503097464806,335.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.95Nb0.05O3
1,88,2.48,1.0248018655297855,345.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.9Nb0.1O3
1,88,2.54,1.08601166285524,346.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.9Nb0.1O3
1,88,2.55,1.1037734349384922,347.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.9Nb0.1O3
1,88,2.51,1.1067973390460832,348.0,Ba0.297Sr0.297Ca0.297La0.1Ti0.9Nb0.1O3
