Index,Random Seed,K_fold,#,Actual,Predicted,Uncertainty
0,42,5,0.0,32.61000061035156,7.956793785095215,0.9933578372001648
1,42,5,1.0,32.09000015258789,18.732297897338867,1.187819480895996
2,42,5,2.0,31.809999465942383,12.349361419677734,1.1343762874603271
3,42,5,3.0,30.440000534057617,19.72650909423828,1.213551044464111
4,42,5,4.0,28.40999984741211,18.432926177978516,0.8810873627662659
5,42,5,10.0,16.670000076293945,17.7322998046875,0.872398853302002
6,42,5,11.0,15.140000343322754,15.498950958251951,0.8728342652320862
7,42,4,12.0,33.360198974609375,29.443435668945312,1.1897249221801758
8,42,4,13.0,34.08000183105469,27.626174926757812,1.0134384632110596
9,42,4,14.0,34.720001220703125,28.37823486328125,0.8944558501243591
10,42,4,15.0,33.91999816894531,28.188491821289062,0.7478673458099365
11,42,4,16.0,32.380001068115234,27.534717559814453,0.7693834900856018
12,42,4,17.0,30.989999771118164,26.328357696533203,0.6382005214691162
13,42,4,18.0,29.260000228881836,24.51995849609375,0.7421340942382812
14,42,4,23.0,17.940000534057617,16.42222785949707,0.5581113696098328
15,42,1,24.0,28.420000076293945,32.72177505493164,0.5955080986022949
16,42,1,25.0,28.61000061035156,31.32734489440918,0.6605467796325684
17,42,1,26.0,30.469999313354492,33.20036697387695,0.5874663591384888
18,42,1,27.0,30.700000762939453,32.56639099121094,0.5932143926620483
19,42,1,28.0,30.239999771118164,30.704912185668945,0.524658203125
20,42,1,29.0,28.190000534057617,29.16992950439453,0.5104721784591675
21,42,1,30.0,26.530000686645508,28.080638885498047,0.4786562025547027
22,42,1,31.0,25.59000015258789,26.21221160888672,0.4936061501502991
23,42,1,33.0,21.790000915527344,22.491249084472656,0.4768985211849212
24,42,1,36.0,25.329999923706055,30.71950340270996,0.5877033472061157
25,42,1,37.0,25.84000015258789,29.923059463500977,0.6442559361457825
26,42,1,38.0,27.34000015258789,31.05794906616211,0.5814676284790039
27,42,1,39.0,28.13999938964844,30.16598129272461,0.592730700969696
28,42,1,40.0,27.68000030517578,29.138647079467773,0.5394867062568665
29,42,1,41.0,26.760000228881836,27.92292022705078,0.5271374583244324
30,42,1,42.0,25.579999923706055,27.54569435119629,0.4952542185783386
31,42,1,43.0,24.190000534057617,25.78545570373535,0.4843931198120117
32,42,5,48.0,28.829999923706055,25.65939712524414,1.3315632343292236
33,42,5,59.0,17.540000915527344,22.135662078857425,0.9119049906730652
34,42,4,61.0,1.1799999475479126,5.394469261169434,0.1695923507213592
35,42,4,66.0,1.409999966621399,2.900906562805176,0.1286995410919189
36,42,2,67.0,10.5,6.672736644744873,0.3410125374794006
37,42,2,68.0,8.819999694824219,5.9244561195373535,0.3686733245849609
38,42,2,72.0,4.139999866485596,7.6963701248168945,0.2343656569719314
39,42,5,74.0,8.680000305175781,1.2363510131835938,0.3248781859874725
40,42,5,75.0,7.590000152587891,1.1918058395385742,0.2329328060150146
41,42,5,80.0,3.180000066757202,1.6126232147216797,0.2746351361274719
42,42,5,81.0,1.1399999856948853,1.7902698516845703,0.3040692806243896
43,42,2,89.0,0.962000012397766,5.176231384277344,0.151332139968872
44,42,5,97.0,1.919999957084656,1.9297780990600584,0.217914193868637
45,42,4,104.0,6.150000095367432,2.25382137298584,0.1707941442728042
46,42,5,131.0,9.229999542236328,2.8628053665161133,0.2351870089769363
47,42,4,138.0,0.4350000023841858,4.7054243087768555,0.551658034324646
48,42,2,150.0,1.9600000381469729,2.7323293685913086,0.107268139719963
49,42,2,151.0,2.109999895095825,2.901956081390381,0.0965529754757881
50,42,2,152.0,2.2799999713897705,3.294677734375,0.1038450598716735
51,42,2,153.0,2.5,3.4465699195861816,0.1146009415388107
52,42,4,161.0,2.7799999713897705,3.8819098472595215,0.1906790733337402
53,42,4,162.0,3.0899999141693115,3.9576916694641113,0.1689619421958923
54,42,4,163.0,3.4100000858306885,4.162802219390869,0.2412624508142471
55,42,4,164.0,3.700000047683716,4.652287483215332,0.2383274137973785
56,42,4,165.0,3.849999904632568,4.917918682098389,0.195306658744812
57,42,3,168.0,1.9600000381469729,1.8044090270996096,0.0835389047861099
58,42,3,169.0,2.109999895095825,1.7398977279663086,0.0807374343276023
59,42,3,170.0,2.430000066757202,1.8214788436889648,0.0742775946855545
60,42,3,171.0,2.8299999237060547,2.3459348678588867,0.07269287109375
61,42,3,172.0,3.3299999237060547,2.619694709777832,0.0789456441998481
62,42,3,173.0,3.799999952316284,2.823090076446533,0.0666810050606727
63,42,3,174.0,4.260000228881836,3.295926570892334,0.0632258504629135
64,42,3,175.0,4.590000152587891,3.338691234588623,0.0677833259105682
65,42,3,176.0,4.800000190734863,3.297563076019287,0.0772114321589469
66,42,3,177.0,5.150000095367432,3.1173295974731445,0.0748881101608276
67,42,3,244.0,43.099998474121094,39.770233154296875,0.5790331959724426
68,42,3,245.0,42.29999923706055,37.05421447753906,0.5594003200531006
69,42,5,255.0,40.79999923706055,41.14350128173828,1.614296793937683
70,42,5,256.0,38.0,41.38515853881836,1.7564668655395508
71,42,2,257.0,8.07699966430664,11.874588966369627,0.2880794107913971
72,42,2,258.0,8.845999717712402,11.902307510375977,0.2403081357479095
73,42,2,259.0,9.769000053405762,14.357630729675291,0.3354157507419586
74,42,2,260.0,10.154000282287598,14.040818214416504,0.268114298582077
75,42,2,261.0,10.845999717712402,14.141656875610352,0.255583107471466
76,42,2,262.0,11.385000228881836,15.72932243347168,0.2571995854377746
77,42,2,263.0,12.0,16.718246459960938,0.3083876371383667
78,42,2,264.0,12.385000228881836,17.442033767700195,0.2389354556798935
79,42,2,265.0,13.07699966430664,19.415611267089844,0.3205893337726593
80,42,2,266.0,13.6899995803833,20.103620529174805,0.2923234403133392
81,42,2,267.0,14.0,21.4503231048584,0.303967535495758
82,42,2,268.0,14.380000114440918,22.521560668945312,0.4027418494224548
83,42,2,269.0,14.850000381469728,22.03270721435547,0.3227689862251282
84,42,3,270.0,11.380000114440918,7.09158992767334,0.1508632153272628
85,42,3,271.0,12.0,7.572089195251465,0.1268163025379181
86,42,3,272.0,12.539999961853027,7.685084342956543,0.1551879942417144
87,42,3,273.0,14.0,8.489521026611328,0.1215893700718879
88,42,3,274.0,14.6899995803833,9.322589874267578,0.1250713765621185
89,42,3,275.0,15.3100004196167,10.00316047668457,0.146045908331871
90,42,3,276.0,15.920000076293944,11.22838020324707,0.1780414283275604
91,42,3,277.0,17.079999923706055,11.806876182556152,0.1637605428695678
92,42,3,278.0,18.6200008392334,12.706401824951172,0.1622880101203918
93,42,3,279.0,19.850000381469727,13.65207290649414,0.1671846807003021
94,42,3,280.0,20.690000534057617,14.391615867614746,0.1967376768589019
95,42,3,281.0,21.309999465942383,14.991353034973145,0.1815379410982132
96,42,3,282.0,21.850000381469727,15.580602645874023,0.1995749324560165
97,42,2,283.0,6.230000019073486,8.427867889404297,0.1959659159183502
98,42,2,284.0,6.619999885559082,8.415053367614746,0.1560596227645874
99,42,2,285.0,7.0,8.705477714538574,0.1798156499862671
100,42,2,286.0,7.539999961853027,10.440264701843262,0.190494492650032
101,42,2,287.0,8.380000114440918,10.632369995117188,0.1752831935882568
102,42,2,288.0,9.3100004196167,10.78412914276123,0.1612246185541153
103,42,2,289.0,10.149999618530272,11.95215129852295,0.1763456165790558
104,42,2,290.0,11.079999923706056,12.503009796142578,0.1652279645204544
105,42,2,291.0,12.3100004196167,14.32408618927002,0.2385585308074951
106,42,2,292.0,13.539999961853027,14.247644424438477,0.2035450637340545
107,42,2,293.0,14.539999961853027,14.719961166381836,0.2144965380430221
108,42,2,294.0,15.460000038146973,16.239349365234375,0.253316730260849
109,42,2,295.0,16.229999542236328,17.434280395507812,0.2552122175693512
110,42,4,296.0,7.619999885559082,6.846920967102051,0.2531443536281585
111,42,4,297.0,7.769999980926514,6.771409034729004,0.2166869491338729
112,42,4,298.0,8.149999618530273,7.570423126220703,0.2256894409656524
113,42,4,299.0,8.850000381469727,7.717560768127441,0.2062859237194061
114,42,4,300.0,9.460000038146973,8.936230659484863,0.197324126958847
115,42,4,301.0,10.149999618530272,9.53272533416748,0.2345978617668151
116,42,4,302.0,10.6899995803833,10.39617156982422,0.2376240491867065
117,42,4,303.0,11.229999542236328,10.442936897277832,0.2348606139421463
118,42,4,304.0,12.0,11.421045303344728,0.2976475954055786
119,42,4,305.0,12.920000076293944,13.266151428222656,0.2778803408145904
120,42,4,306.0,13.6899995803833,14.252618789672852,0.3647087514400482
121,42,4,307.0,14.539999961853027,16.24535369873047,0.3671752512454986
122,42,4,308.0,15.619999885559082,16.308015823364258,0.4879193902015686
123,42,3,309.0,8.5,2.825620651245117,0.0980202034115791
124,42,3,310.0,8.369999885559082,3.265446662902832,0.0847183689475059
125,42,3,311.0,8.289999961853027,4.061223983764648,0.0945631861686706
126,42,3,312.0,7.409999847412109,5.0914740562438965,0.1119874864816665
127,42,3,313.0,6.96999979019165,4.992786884307861,0.1341247409582138
128,42,3,314.0,6.630000114440918,5.023775577545166,0.1466179192066192
129,42,3,316.0,5.199999809265137,8.417313575744629,0.2578387260437011
130,42,3,318.0,8.970000267028809,7.095578193664551,0.1964298486709594
131,42,3,319.0,10.119999885559082,8.635915756225586,0.1652503311634063
132,42,3,320.0,11.09000015258789,9.861101150512695,0.1546721011400222
133,42,3,321.0,12.239999771118164,11.2024507522583,0.1593202203512191
134,42,3,322.0,12.789999961853027,12.432302474975586,0.180789828300476
135,42,3,323.0,13.699999809265137,13.098978996276855,0.1860813200473785
136,42,3,324.0,14.0,14.069498062133787,0.2012658864259719
137,42,4,327.0,6.849999904632568,8.721935272216797,0.3422096967697143
138,42,4,328.0,8.0,9.755861282348633,0.2998488545417785
139,42,4,329.0,9.149999618530272,10.560874938964844,0.3038592040538788
140,42,4,330.0,10.359999656677246,11.909266471862791,0.3066558539867401
141,42,4,331.0,11.699999809265137,12.868391036987305,0.316539853811264
142,42,4,332.0,12.420000076293944,13.386266708374023,0.3229824900627136
143,42,4,333.0,13.390000343322754,13.941202163696287,0.3213845193386078
144,42,4,334.0,14.300000190734863,15.135557174682615,0.4162424504756927
145,42,4,335.0,15.760000228881836,16.144424438476562,0.4226809740066528
146,42,4,336.0,7.03000020980835,6.383551120758057,0.2958977818489074
147,42,4,337.0,8.550000190734863,7.605842590332031,0.2734796106815338
148,42,4,338.0,9.579999923706056,8.860748291015625,0.2918838560581207
149,42,4,339.0,11.029999732971191,9.722396850585938,0.2917184233665466
150,42,4,340.0,12.420000076293944,11.080217361450195,0.3289002478122711
151,42,4,341.0,13.640000343322754,12.653949737548828,0.3443560004234314
152,42,4,342.0,14.239999771118164,13.225336074829102,0.3280537128448486
153,42,4,343.0,15.760000228881836,14.58411979675293,0.4218908548355102
154,42,4,344.0,17.09000015258789,15.964750289916992,0.4371735155582428
155,42,1,345.0,6.480000019073486,6.650238990783691,0.235476478934288
156,42,1,346.0,7.389999866485596,7.872289180755615,0.2227068990468979
157,42,1,347.0,8.479999542236328,8.70441722869873,0.2064364850521087
158,42,1,348.0,9.579999923706056,9.82310676574707,0.2035253643989563
159,42,1,349.0,10.850000381469728,11.17916774749756,0.2034966498613357
160,42,1,350.0,12.119999885559082,12.128807067871094,0.2173847556114196
161,42,1,351.0,13.270000457763672,12.775495529174805,0.2494341880083084
162,42,1,352.0,14.609999656677246,13.80519199371338,0.3044488131999969
163,42,1,353.0,16.059999465942383,15.292864799499512,0.3380585312843323
164,42,2,354.0,9.70044231414795,5.067699909210205,0.1760512143373489
165,42,2,355.0,9.346385955810549,4.872328281402588,0.1964434534311294
166,42,2,356.0,9.560593605041504,6.285219192504883,0.1957191079854965
167,42,2,357.0,9.933782577514648,5.58759880065918,0.1874332576990127
168,42,2,358.0,10.215517044067385,7.123981952667236,0.1830688565969467
169,42,2,359.0,10.07875633239746,7.235126495361328,0.178170621395111
170,42,2,360.0,9.615558624267578,7.216549396514893,0.1841668784618377
171,42,2,361.0,9.226008415222168,7.698016166687012,0.1832690238952636
172,42,2,362.0,8.909462928771973,8.019352912902832,0.1790854334831237
