Index,Random Seed,K_fold,#,Actual,Predicted,Uncertainty
0,1201,1,0.0,-129.8800048828125,-106.03675842285156,1.4001779556274414
1,1201,1,1.0,-149.5,-123.47135925292967,1.5960512161254885
2,1201,1,2.0,-170.36000061035156,-149.79177856445312,1.9383506774902344
3,1201,1,3.0,-189.41000366210935,-161.4145050048828,1.4986000061035156
4,1201,1,4.0,-202.92999267578125,-181.7862548828125,1.7878708839416504
5,1201,1,10.0,-253.27000427246097,-259.20391845703125,2.3492538928985596
6,1201,1,11.0,-254.5099945068359,-270.0978698730469,2.3398942947387695
7,1201,5,13.0,-136.5,-105.53311157226562,9.554277420043944
8,1201,5,14.0,-157.7899932861328,-133.30239868164062,8.948068618774414
9,1201,5,15.0,-175.99000549316406,-145.10787963867188,8.17126178741455
10,1201,5,16.0,-193.57000732421875,-161.44488525390625,8.94413948059082
11,1201,5,17.0,-209.9199981689453,-168.86102294921875,7.24798583984375
12,1201,5,18.0,-223.19000244140625,-190.6781311035156,8.696831703186035
13,1201,5,23.0,-263.2900085449219,-254.28575134277344,12.204730987548828
14,1201,2,24.0,-98.60284423828124,-100.90641021728516,6.568367958068848
15,1201,2,25.0,-109.8499984741211,-118.45783233642578,7.623316764831543
16,1201,2,26.0,-129.07000732421875,-135.01431274414062,7.737810611724853
17,1201,2,27.0,-146.6199951171875,-147.5188751220703,7.71828556060791
18,1201,2,28.0,-162.75999450683594,-163.7628631591797,6.675954341888428
19,1201,2,29.0,-176.05999755859375,-179.81610107421875,6.4518961906433105
20,1201,2,30.0,-190.97999572753903,-195.5463104248047,6.37080717086792
21,1201,2,31.0,-203.05999755859375,-192.6826171875,6.465292453765869
22,1201,2,33.0,-226.92999267578125,-219.7434844970703,9.261307716369627
23,1201,4,36.0,-91.1500015258789,-101.2939224243164,4.202718734741211
24,1201,4,37.0,-102.26000213623048,-113.4583511352539,4.256491661071777
25,1201,4,38.0,-122.93000030517578,-137.23046875,4.810271739959717
26,1201,4,39.0,-141.44000244140625,-147.77371215820312,4.910881519317627
27,1201,4,40.0,-158.08999633789062,-167.57223510742188,5.148194789886475
28,1201,4,41.0,-173.8300018310547,-190.411376953125,5.262185096740723
29,1201,4,42.0,-187.7100067138672,-201.90179443359375,5.148653984069824
30,1201,4,43.0,-199.1199951171875,-216.8272399902344,5.449092864990234
31,1201,4,48.0,-103.40766143798828,-104.98943328857422,5.699396133422852
32,1201,4,59.0,-263.2900085449219,-240.87075805664065,9.9989652633667
33,1201,3,61.0,408.260009765625,341.9443664550781,6.760773658752441
34,1201,3,66.0,191.4600067138672,311.0458068847656,7.231265068054199
35,1201,4,67.0,327.1499938964844,125.56190490722656,3.879887342453003
36,1201,4,68.0,352.9100036621094,178.67666625976562,5.848138809204102
37,1201,4,72.0,285.67999267578125,200.02554321289065,6.530280113220215
38,1201,4,74.0,292.4700012207031,40.92473220825195,1.532931923866272
39,1201,4,75.0,285.1000061035156,43.39249038696289,0.5898658037185669
40,1201,4,80.0,249.16000366210935,82.96591186523438,1.5201040506362915
41,1201,4,81.0,459.8299865722656,162.91741943359375,5.536859512329102
42,1201,3,89.0,-263.2799987792969,-374.1841125488281,10.41173267364502
43,1201,2,97.0,-333.5899963378906,76.45535278320312,32.09328842163086
44,1201,2,104.0,-425.0,-17.528532028198242,9.320173263549805
45,1201,2,131.0,-542.1900024414062,-205.15652465820312,18.30756568908691
46,1201,5,138.0,-110.25,-215.47491455078125,51.336570739746094
47,1201,4,150.0,-133.0,-117.32476043701172,3.5029962062835693
48,1201,4,151.0,-138.0,-117.21764373779295,3.699587345123291
49,1201,4,152.0,-141.75,-122.54242706298828,4.570960521697998
50,1201,4,153.0,-145.0,-130.34967041015625,3.3410909175872803
51,1201,5,161.0,-134.5,-94.0980987548828,7.731962203979492
52,1201,5,162.0,-139.25,-90.32867431640624,7.584567546844482
53,1201,5,163.0,-143.25,-80.62922668457031,8.618576049804688
54,1201,5,164.0,-146.75,-47.596168518066406,13.189197540283203
