Index,Random Seed,K_fold,#,Actual,Predicted,Uncertainty
0,42,5,0.0,-129.8800048828125,-89.67120361328125,6.5993170738220215
1,42,5,1.0,-149.5,-100.80877685546876,6.722775459289551
2,42,5,2.0,-170.36000061035156,-112.94491577148438,6.927757263183594
3,42,5,3.0,-189.41000366210935,-125.76084899902344,7.2131571769714355
4,42,5,4.0,-202.92999267578125,-138.8831787109375,7.593327045440674
5,42,5,10.0,-253.27000427246097,-195.3986663818359,10.096790313720703
6,42,5,11.0,-254.5099945068359,-201.2452087402344,10.453987121582031
7,42,4,13.0,-136.5,-115.07079315185548,3.182002305984497
8,42,4,14.0,-157.7899932861328,-130.34597778320312,3.193763494491577
9,42,4,15.0,-175.99000549316406,-145.63287353515625,3.2475106716156006
10,42,4,16.0,-193.57000732421875,-160.607177734375,3.3825948238372803
11,42,4,17.0,-209.9199981689453,-174.46279907226562,3.5931811332702637
12,42,4,18.0,-223.19000244140625,-187.62274169921875,3.90683388710022
13,42,4,23.0,-263.2900085449219,-235.22348022460935,5.453990936279297
14,42,4,24.0,-98.60284423828124,-95.92813873291016,3.766984224319458
15,42,4,25.0,-109.8499984741211,-111.97745513916016,3.7261366844177246
16,42,4,26.0,-129.07000732421875,-127.28565216064452,3.754945516586304
17,42,4,27.0,-146.6199951171875,-142.94586181640625,3.836519479751587
18,42,4,28.0,-162.75999450683594,-158.05389404296875,4.0045270919799805
19,42,4,29.0,-176.05999755859375,-171.89877319335938,4.260593414306641
20,42,4,30.0,-190.97999572753903,-185.06613159179688,4.630807399749756
21,42,4,31.0,-203.05999755859375,-197.58767700195312,5.064228534698486
22,42,4,33.0,-226.92999267578125,-219.3074951171875,5.752711772918701
23,42,1,36.0,-91.1500015258789,-106.72599029541016,6.098371505737305
24,42,1,37.0,-102.26000213623048,-123.92647552490234,6.1679534912109375
25,42,1,38.0,-122.93000030517578,-139.92074584960938,6.349990367889404
26,42,1,39.0,-141.44000244140625,-155.88290405273438,6.5720930099487305
27,42,1,40.0,-158.08999633789062,-172.06008911132812,6.948700428009033
28,42,1,41.0,-173.8300018310547,-186.80465698242188,7.469590187072754
29,42,1,42.0,-187.7100067138672,-200.16824340820312,8.12767505645752
30,42,1,43.0,-199.1199951171875,-211.742919921875,8.819513320922852
31,42,1,48.0,-103.40766143798828,-101.7461929321289,7.369388103485107
32,42,1,59.0,-263.2900085449219,-240.83609008789065,13.23245906829834
33,42,4,61.0,408.260009765625,431.54058837890625,46.37472915649414
34,42,4,66.0,191.4600067138672,415.8055114746094,47.95290756225586
35,42,2,67.0,327.1499938964844,239.1238250732422,48.32503509521485
36,42,2,68.0,352.9100036621094,257.659912109375,45.61423873901367
37,42,2,72.0,285.67999267578125,260.9969787597656,44.43437576293945
38,42,3,74.0,292.4700012207031,350.4439697265625,100.03509521484376
39,42,3,75.0,285.1000061035156,365.37554931640625,95.5133056640625
40,42,3,80.0,249.16000366210935,374.7843627929687,89.87451934814453
41,42,1,81.0,459.8299865722656,350.55145263671875,105.2078628540039
42,42,1,89.0,-263.2799987792969,-238.29537963867188,35.377586364746094
43,42,5,97.0,-333.5899963378906,-308.6026611328125,48.4494514465332
44,42,4,104.0,-425.0,-324.798095703125,18.237075805664062
45,42,5,131.0,-542.1900024414062,-180.44808959960935,8.804012298583984
46,42,4,138.0,-110.25,-139.38931274414062,7.068180561065674
47,42,2,150.0,-133.0,-128.60853576660156,3.2696471214294434
48,42,2,151.0,-138.0,-131.86038208007812,3.3081350326538086
49,42,2,152.0,-141.75,-134.844482421875,3.3581080436706543
50,42,2,153.0,-145.0,-137.63418579101562,3.4169976711273193
51,42,4,161.0,-134.5,-137.69842529296875,3.149812936782837
52,42,4,162.0,-139.25,-140.9583740234375,3.168935060501098
53,42,4,163.0,-143.25,-144.05694580078125,3.1996822357177734
54,42,4,164.0,-146.75,-146.74008178710938,3.240483283996582
55,42,4,165.0,-150.25,-149.14334106445312,3.2991881370544434
56,42,3,168.0,-116.0,-125.04924011230467,4.0297465324401855
57,42,3,169.0,-123.25,-129.04296875,4.09097957611084
58,42,3,170.0,-128.25,-132.8897247314453,4.147866725921631
59,42,3,171.0,-133.75,-136.7738037109375,4.2081122398376465
60,42,3,172.0,-138.0,-140.4618377685547,4.2754082679748535
61,42,3,173.0,-141.75,-143.81712341308594,4.355191707611084
62,42,3,174.0,-145.0,-146.99961853027344,4.4399590492248535
63,42,3,175.0,-147.5,-150.1001739501953,4.535592555999756
64,42,3,176.0,-150.0,-153.08982849121094,4.642214298248291
65,42,3,177.0,-151.75,-156.0230712890625,4.757465362548828
66,42,3,244.0,237.0,230.3528289794922,7.5234527587890625
67,42,3,245.0,227.0,233.78958129882812,7.68480110168457
68,42,5,255.0,247.0,232.1885681152344,11.898174285888672
69,42,5,256.0,233.0,238.9569396972656,11.838760375976562
70,42,2,257.0,-170.39999389648438,-134.6488037109375,2.4005212783813477
71,42,2,258.0,-178.39999389648438,-145.905517578125,2.4040675163269043
72,42,2,259.0,-188.0,-155.2910919189453,2.429081916809082
73,42,2,260.0,-192.8000030517578,-165.07723999023438,2.4764373302459717
74,42,2,261.0,-199.1999969482422,-172.6168212890625,2.529555320739746
75,42,2,262.0,-206.3999938964844,-182.06491088867188,2.615717887878418
76,42,2,263.0,-213.6000061035156,-191.154541015625,2.709383249282837
77,42,2,264.0,-219.1999969482422,-199.9545135498047,2.8052196502685547
78,42,2,265.0,-226.3999938964844,-208.650146484375,2.9124670028686523
79,42,2,266.0,-232.0,-216.74037170410156,3.0222959518432617
80,42,2,267.0,-236.8000030517578,-222.2601318359375,3.0962626934051514
81,42,2,268.0,-241.6000061035156,-227.3104553222656,3.167909860610962
82,42,2,269.0,-245.6000061035156,-233.3916931152344,3.250847339630127
83,42,3,270.0,-143.1999969482422,-115.72918701171876,2.8547024726867676
84,42,3,271.0,-148.8000030517578,-122.93165588378906,2.9429450035095215
85,42,3,272.0,-155.1999969482422,-129.45040893554688,3.020259141921997
86,42,3,273.0,-165.60000610351562,-135.65626525878906,3.094726324081421
87,42,3,274.0,-173.60000610351562,-140.5556640625,3.1578779220581055
88,42,3,275.0,-180.8000030517578,-147.5566864013672,3.264232397079468
89,42,3,276.0,-187.1999969482422,-154.81687927246094,3.398587226867676
90,42,3,277.0,-196.8000030517578,-162.02127075195312,3.557842493057251
91,42,3,278.0,-208.0,-169.53778076171875,3.721636295318603
92,42,3,279.0,-216.8000030517578,-177.056396484375,3.878510236740112
93,42,3,280.0,-222.3999938964844,-182.35321044921875,3.985323190689087
94,42,3,281.0,-227.1999969482422,-187.546630859375,4.086070537567139
95,42,3,282.0,-231.1999969482422,-193.9599609375,4.215944766998291
96,42,2,283.0,-105.5999984741211,-99.17625427246094,2.217532157897949
97,42,2,284.0,-109.5999984741211,-106.08718872070312,2.2311136722564697
98,42,2,285.0,-113.5999984741211,-111.89292907714844,2.253247022628784
99,42,2,286.0,-118.4000015258789,-118.07455444335938,2.2900099754333496
100,42,2,287.0,-125.5999984741211,-123.09190368652344,2.3302199840545654
101,42,2,288.0,-132.8000030517578,-129.6017303466797,2.401662588119507
102,42,2,289.0,-138.39999389648438,-136.3507537841797,2.482149839401245
103,42,2,290.0,-146.39999389648438,-143.3461456298828,2.5647826194763184
104,42,2,291.0,-154.39999389648438,-149.8645782470703,2.650296449661255
105,42,2,292.0,-163.1999969482422,-156.3128204345703,2.735842227935791
106,42,2,293.0,-169.60000610351562,-160.9247589111328,2.7904326915740967
107,42,2,294.0,-175.1999969482422,-165.54537963867188,2.844797372817993
108,42,2,295.0,-180.0,-171.5154266357422,2.9177405834198
109,42,4,296.0,-94.4000015258789,-114.66510772705078,5.374809265136719
