Index,Random Seed,K_fold,#,Actual,Predicted,Uncertainty
0,1201,1,0.0,-129.8800048828125,-97.83575439453124,2.619410276412964
1,1201,1,1.0,-149.5,-118.09519958496094,2.631047248840332
2,1201,1,2.0,-170.36000061035156,-141.0033416748047,3.0024971961975098
3,1201,1,3.0,-189.41000366210935,-145.47064208984375,2.269106149673462
4,1201,1,4.0,-202.92999267578125,-167.4048614501953,2.8386950492858887
5,1201,1,10.0,-253.27000427246097,-248.5732421875,2.822593927383423
6,1201,1,11.0,-254.5099945068359,-263.47125244140625,2.8769664764404297
7,1201,5,13.0,-136.5,-120.28347778320312,2.4080605506896973
8,1201,5,14.0,-157.7899932861328,-136.63983154296875,2.4345226287841797
9,1201,5,15.0,-175.99000549316406,-156.63018798828125,2.252075433731079
10,1201,5,16.0,-193.57000732421875,-171.15931701660156,2.262984275817871
11,1201,5,17.0,-209.9199981689453,-184.5095367431641,2.027930498123169
12,1201,5,18.0,-223.19000244140625,-198.3724822998047,2.2101523876190186
13,1201,5,23.0,-263.2900085449219,-255.8893280029297,2.9937446117401123
14,1201,2,24.0,-98.60284423828124,-101.18206024169922,5.505637168884277
15,1201,2,25.0,-109.8499984741211,-113.2165298461914,6.455033302307129
16,1201,2,26.0,-129.07000732421875,-135.27613830566406,5.7758564949035645
17,1201,2,27.0,-146.6199951171875,-155.8095245361328,6.179985523223877
18,1201,2,28.0,-162.75999450683594,-168.6322784423828,5.865604877471924
19,1201,2,29.0,-176.05999755859375,-181.54888916015625,5.474799633026123
20,1201,2,30.0,-190.97999572753903,-196.93850708007812,5.966249942779541
21,1201,2,31.0,-203.05999755859375,-196.93055725097656,5.632382869720459
22,1201,2,33.0,-226.92999267578125,-218.78651428222656,8.043519973754883
23,1201,4,36.0,-91.1500015258789,-103.71100616455078,5.483948707580566
24,1201,4,37.0,-102.26000213623048,-115.79866790771484,5.023111820220947
25,1201,4,38.0,-122.93000030517578,-130.23211669921875,4.703609943389893
26,1201,4,39.0,-141.44000244140625,-148.03970336914062,4.825996398925781
27,1201,4,40.0,-158.08999633789062,-161.15576171875,4.408714771270752
28,1201,4,41.0,-173.8300018310547,-174.81369018554688,3.810697078704834
29,1201,4,42.0,-187.7100067138672,-191.0030212402344,3.9886386394500737
