Index,Random Seed,K_fold,#,Actual,Predicted,Uncertainty
0,123,1,0.0,2.700000047683716,3.44171142578125,0.0822530090808868
1,123,1,1.0,2.3299999237060547,3.0854644775390625,0.0570690743625164
2,123,1,2.0,2.0199999809265137,2.5663084983825684,0.0619201771914958
3,123,1,3.0,1.7999999523162842,2.1269774436950684,0.0598089024424552
4,123,1,4.0,1.590000033378601,1.7844403982162476,0.0520159266889095
5,123,1,10.0,1.1100000143051147,1.0700896978378296,0.0112402308732271
6,123,1,11.0,1.1299999952316284,1.0859436988830566,0.0123152928426861
7,123,3,12.0,2.8499999046325684,2.9892659187316895,0.0575008951127529
8,123,3,13.0,2.4600000381469727,2.4549481868743896,0.0428480096161365
9,123,3,14.0,2.130000114440918,2.0861775875091553,0.035020001232624
10,123,3,15.0,1.840000033378601,1.8154863119125368,0.026113387197256
11,123,3,16.0,1.6299999952316284,1.7033175230026243,0.0252494383603334
12,123,3,17.0,1.4700000286102295,1.4588665962219238,0.0170468334108591
13,123,3,18.0,1.3300000429153442,1.3242127895355225,0.0158367715775966
14,123,3,23.0,1.149999976158142,1.143319606781006,0.0106681697070598
15,123,1,24.0,3.2200000286102295,3.193784713745117,0.056801714003086
16,123,1,25.0,2.690000057220459,2.871346235275269,0.0434934832155704
17,123,1,26.0,2.309999942779541,2.5056886672973633,0.0431885793805122
18,123,1,27.0,1.9900000095367432,2.0533926486968994,0.0381502881646156
19,123,1,28.0,1.809999942779541,1.966748595237732,0.0371890924870967
20,123,1,29.0,1.559999942779541,1.6306846141815186,0.0263938065618276
21,123,1,30.0,1.4199999570846558,1.5159273147583008,0.0248224064707756
22,123,1,31.0,1.340000033378601,1.4418201446533203,0.0223243068903684
23,123,1,33.0,1.1699999570846558,1.2740437984466553,0.0168397612869739
24,123,3,36.0,3.299999952316284,3.0713014602661133,0.0583567097783088
25,123,3,37.0,2.950000047683716,2.6039702892303467,0.046572271734476
26,123,3,38.0,2.549999952316284,2.1875975131988525,0.0366321466863155
27,123,3,39.0,2.2300000190734863,1.9012123346328735,0.0284044127911329
28,123,3,40.0,1.9600000381469729,1.7697662115097046,0.0262527298182249
29,123,3,41.0,1.75,1.5235824584960938,0.018614524975419
30,123,3,42.0,1.5800000429153442,1.4114127159118652,0.0173980835825204
31,123,3,43.0,1.4299999475479126,1.3429359197616575,0.0156149640679359
32,123,2,48.0,3.009999990463257,3.1324615478515625,0.1824386864900589
33,123,2,59.0,1.2000000476837158,1.2428886890411377,0.0554172620177269
34,123,3,61.0,1.409999966621399,1.120417833328247,0.0148446727544069
35,123,3,66.0,1.059999942779541,0.8248019218444824,0.0121610565111041
36,123,2,67.0,1.6100000143051147,1.991421580314636,0.1434829384088516
37,123,2,68.0,1.3600000143051147,1.8617196083068848,0.1743307411670684
38,123,2,72.0,1.0,0.9517457485198976,0.0508468635380268
39,123,2,74.0,1.7400000095367432,2.8364109992980957,0.1674998551607132
40,123,2,75.0,1.4800000190734863,3.687190055847168,0.1986868977546692
41,123,2,80.0,1.0800000429153442,1.86233389377594,0.091685451567173
42,123,2,81.0,1.7000000476837158,1.5277695655822754,0.1850087195634842
43,123,3,89.0,4.809999942779541,2.4237101078033447,0.0777342170476913
44,123,3,97.0,7.039999961853027,3.7180752754211426,0.0916516333818435
45,123,1,104.0,14.06999969482422,8.186668395996094,0.2962733507156372
46,123,2,131.0,20.3700008392334,12.53596305847168,1.3013259172439575
47,123,4,138.0,0.8389999866485596,0.9275833368301392,0.0631352141499519
