Index,Random Seed,K_fold,#,Actual,Predicted,Uncertainty
0,88,5,0.0,2.700000047683716,2.848245859146118,0.0998081043362617
1,88,5,1.0,2.3299999237060547,2.260319471359253,0.0864100530743599
2,88,5,2.0,2.0199999809265137,2.095955610275269,0.0621634200215339
3,88,5,3.0,1.7999999523162842,1.8287663459777832,0.0439196676015853
4,88,5,4.0,1.590000033378601,1.5528862476348877,0.0266661085188388
5,88,5,10.0,1.1100000143051147,1.1085569858551023,0.0114152804017066
6,88,5,11.0,1.1299999952316284,1.1305692195892334,0.0091278525069355
7,88,2,12.0,2.8499999046325684,3.028897285461426,0.0771627500653266
8,88,2,13.0,2.4600000381469727,2.4402589797973633,0.0541848428547382
9,88,2,14.0,2.130000114440918,2.1813645362854004,0.0475888513028621
10,88,2,15.0,1.840000033378601,1.8306834697723389,0.0338208265602588
11,88,2,16.0,1.6299999952316284,1.547065019607544,0.0225853081792593
12,88,2,17.0,1.4700000286102295,1.4760255813598633,0.0182554870843887
13,88,2,18.0,1.3300000429153442,1.3701854944229126,0.0191318336874246
14,88,2,23.0,1.149999976158142,1.166070818901062,0.0149702541530132
15,88,5,24.0,3.2200000286102295,2.9092612266540527,0.0566644705832004
16,88,5,25.0,2.690000057220459,2.4235894680023193,0.0632388442754745
17,88,5,26.0,2.309999942779541,2.190911293029785,0.0551182590425014
18,88,5,27.0,1.9900000095367432,1.8654330968856812,0.0403977967798709
19,88,5,28.0,1.809999942779541,1.635378360748291,0.0292507037520408
20,88,5,29.0,1.559999942779541,1.4574289321899414,0.0199976749718189
21,88,5,30.0,1.4199999570846558,1.338503360748291,0.0168967097997665
22,88,5,31.0,1.340000033378601,1.2586257457733154,0.0141420112922787
23,88,5,33.0,1.1699999570846558,1.201465368270874,0.0131350783631205
24,88,5,36.0,3.299999952316284,2.96832013130188,0.0590219274163246
25,88,5,37.0,2.950000047683716,2.489332675933838,0.0642780140042305
26,88,5,38.0,2.549999952316284,2.3044562339782715,0.0564560294151306
27,88,5,39.0,2.2300000190734863,1.9084880352020264,0.042484663426876
28,88,5,40.0,1.9600000381469729,1.650747776031494,0.0299032982438802
29,88,5,41.0,1.75,1.4435298442840576,0.020655209198594
30,88,5,42.0,1.5800000429153442,1.3603471517562866,0.0177326183766126
31,88,5,43.0,1.4299999475479126,1.260178804397583,0.0150756584480404
32,88,3,48.0,3.009999990463257,3.0700740814208984,0.0944105833768844
33,88,3,59.0,1.2000000476837158,1.2021640539169312,0.017776358872652
34,88,1,61.0,1.409999966621399,1.037221908569336,0.0473665595054626
35,88,1,66.0,1.059999942779541,0.6972001791000366,0.0205654613673686
36,88,5,67.0,1.6100000143051147,2.5713155269622803,0.1021627262234687
37,88,5,68.0,1.3600000143051147,0.9604132175445556,0.0287893079221248
38,88,5,72.0,1.0,0.6389306783676147,0.0100636975839734
39,88,5,74.0,1.7400000095367432,5.555231094360352,0.0843666568398475
40,88,5,75.0,1.4800000190734863,2.144929885864258,0.0801239088177681
41,88,5,80.0,1.0800000429153442,1.0986655950546265,0.0179017893970012
42,88,2,81.0,1.7000000476837158,1.0660985708236694,0.0317502655088901
43,88,4,89.0,4.809999942779541,3.493706703186035,0.1690202057361602
