Index,Random Seed,K_fold,#,Actual,Predicted,Uncertainty
0,88,3,1.0,1.440000057220459,1.4727044105529783,0.0788822919130325
1,88,3,2.0,1.2599999904632568,1.2965642213821411,0.0694086551666259
2,88,3,3.0,1.1399999856948853,1.1575915813446045,0.0640865862369537
3,88,3,4.0,1.0199999809265137,1.0487000942230225,0.0618928633630275
4,88,3,10.0,0.8299999833106995,0.741464376449585,0.0639150589704513
5,88,3,11.0,0.8600000143051147,0.7120805382728577,0.0645736828446388
6,88,5,12.0,1.600000023841858,1.346267580986023,0.0940877795219421
7,88,5,13.0,1.3200000524520874,1.169946312904358,0.0817784145474433
8,88,5,14.0,1.149999976158142,1.004332423210144,0.0712707415223121
9,88,5,15.0,1.0,0.8812223672866821,0.0640745311975479
10,88,5,16.0,0.8999999761581421,0.7962691187858582,0.0590360239148139
11,88,5,17.0,0.8100000023841858,0.7344008684158325,0.0548618212342262
12,88,5,18.0,0.7599999904632568,0.6919714212417603,0.0512576587498188
13,88,5,23.0,0.7799999713897705,0.5784508585929871,0.0367221049964427
14,88,3,24.0,1.2899999618530271,1.6209239959716797,0.0832727774977684
15,88,3,25.0,1.0399999618530271,1.4022822380065918,0.0711793527007103
16,88,3,26.0,0.8999999761581421,1.2080802917480469,0.0616930238902568
17,88,3,27.0,0.8100000023841858,1.063983678817749,0.056801326572895
18,88,3,28.0,0.7200000286102295,0.957085132598877,0.0549248829483985
19,88,3,29.0,0.6700000166893005,0.8857145309448242,0.0551570020616054
20,88,3,30.0,0.6200000047683716,0.8379819393157959,0.0565601475536823
21,88,3,31.0,0.5699999928474426,0.8033228516578674,0.058480866253376
22,88,3,33.0,0.5899999737739563,0.7513263821601868,0.0633222535252571
23,88,5,36.0,1.5700000524520874,1.2534452676773071,0.0704457089304924
24,88,5,37.0,1.440000057220459,1.0911656618118286,0.0611965134739875
25,88,5,38.0,1.2599999904632568,0.9392642378807068,0.0532682687044143
26,88,5,39.0,1.1299999952316284,0.8233243227005005,0.0476861037313938
27,88,5,40.0,1.0099999904632568,0.7441941499710083,0.0438933186233043
28,88,5,41.0,0.9100000262260436,0.6867227554321289,0.0407408438622951
29,88,5,42.0,0.8299999833106995,0.6487621068954468,0.0380227155983448
30,88,5,43.0,0.7699999809265137,0.6222757697105408,0.0355957746505737
31,88,4,48.0,1.409999966621399,1.5908559560775757,0.0925020948052406
32,88,4,59.0,0.7300000190734863,0.7170615196228027,0.0519047975540161
33,88,1,66.0,1.0199999809265137,0.9691691398620604,0.0548860318958759
34,88,4,67.0,1.5700000524520874,1.5760711431503296,0.1353472471237182
35,88,4,68.0,1.3300000429153442,1.381090760231018,0.1199488639831543
36,88,4,72.0,0.9700000286102296,1.035851240158081,0.1004221066832542
37,88,2,74.0,1.690000057220459,1.5876420736312866,0.08782809227705
38,88,2,75.0,1.440000057220459,1.4272122383117676,0.0793121233582496
39,88,2,80.0,1.0399999618530271,1.0365784168243408,0.0769380033016204
40,88,5,89.0,4.785399913787842,2.720524311065674,0.1527103334665298
41,88,2,97.0,7.039999961853027,5.035737991333008,0.318072110414505
42,88,4,104.0,14.06999969482422,7.0321364402771,1.442259430885315
43,88,2,138.0,0.5950000286102295,0.6788089871406555,0.0612383633852005
44,88,4,150.0,0.2689999938011169,0.7957216501235962,0.0245180781930685
45,88,4,151.0,0.248999997973442,0.7636292576789856,0.0234970860183239
46,88,4,152.0,0.2269999980926513,0.7331302762031555,0.0224974229931831
47,88,4,153.0,0.2070000022649765,0.7060909271240234,0.0216225665062665
48,88,4,161.0,0.1309999972581863,0.7852666974067688,0.0292888302356004
49,88,4,162.0,0.1059999987483024,0.752602756023407,0.0281112678349018
50,88,4,163.0,0.0865999981760978,0.7206459045410156,0.0269796624779701
51,88,4,164.0,0.0720999985933303,0.6898882389068604,0.0259122867137193
52,88,4,165.0,0.0601000003516674,0.6624923348426819,0.0249876845628023
53,88,3,168.0,0.2259999960660934,0.2311805486679077,0.0286248736083507
54,88,3,169.0,0.2140000015497207,0.2150154113769531,0.0275850221514701
55,88,3,170.0,0.1990000009536743,0.2015807628631591,0.0267917830497026
56,88,3,171.0,0.1770000010728836,0.1905950307846069,0.0261571072041988
57,88,3,172.0,0.1469999998807907,0.1828780174255371,0.02569798566401
58,88,3,173.0,0.1230000033974647,0.1781710386276245,0.0254395026713609
59,88,3,174.0,0.1110000014305114,0.1750121116638183,0.0252988878637552
60,88,3,175.0,0.0882999971508979,0.1725162267684936,0.0252007357776165
61,88,3,176.0,0.0687000006437301,0.1703726053237915,0.0251828394830226
62,88,3,177.0,0.0439000017940998,0.1684433221817016,0.025182431563735
63,88,1,244.0,0.5910000205039978,0.6564026474952698,0.0588963255286216
64,88,1,245.0,0.5699999928474426,0.628399133682251,0.0586567930877208
65,88,3,255.0,0.574999988079071,0.94718199968338,0.1128518283367157
66,88,3,256.0,0.5870000123977661,0.8892529606819153,0.1152742505073547
67,88,1,257.0,2.680000066757202,1.9759788513183592,0.0690982937812805
68,88,1,258.0,2.509999990463257,1.863127827644348,0.0626353770494461
69,88,1,259.0,2.309999942779541,1.771977186203003,0.0583747290074825
70,88,1,260.0,2.1600000858306885,1.7076992988586426,0.0566023848950862
71,88,1,261.0,2.0,1.6709538698196411,0.0563874468207359
72,88,1,262.0,1.850000023841858,1.6326608657836914,0.0571197904646396
73,88,1,263.0,1.75,1.6021684408187866,0.0585928745567798
74,88,1,264.0,1.6399999856948853,1.5763942003250122,0.0602768845856189
75,88,1,265.0,1.559999942779541,1.553414821624756,0.062077272683382
76,88,1,266.0,1.5399999618530271,1.5312817096710205,0.0638151690363884
77,88,1,267.0,1.5399999618530271,1.5146276950836182,0.0650677382946014
78,88,1,268.0,1.5299999713897705,1.497716784477234,0.0662518590688705
