Index,Random Seed,K_fold,#,Actual,Predicted,Uncertainty
0,42,4,1.0,1.440000057220459,1.380966067314148,0.0673645883798599
1,42,4,2.0,1.2599999904632568,1.2530076503753662,0.0995655134320259
2,42,4,3.0,1.1399999856948853,1.1103140115737915,0.0649126395583152
3,42,4,4.0,1.0199999809265137,0.8689844012260437,0.0565649420022964
4,42,4,10.0,0.8299999833106995,0.5354628562927246,0.0378469079732894
5,42,4,11.0,0.8600000143051147,0.7936969995498657,0.0432576388120651
6,42,2,12.0,1.600000023841858,1.502976417541504,0.1710653305053711
7,42,2,13.0,1.3200000524520874,1.2535418272018433,0.1010054275393486
8,42,2,14.0,1.149999976158142,1.0761030912399292,0.0962930768728256
9,42,2,15.0,1.0,0.9038066267967224,0.096275694668293
10,42,2,16.0,0.8999999761581421,0.7993194460868835,0.0708877518773078
11,42,2,17.0,0.8100000023841858,0.7645658254623413,0.0557938665151596
12,42,2,18.0,0.7599999904632568,0.6137483716011047,0.0507979020476341
13,42,2,23.0,0.7799999713897705,0.6803911328315735,0.0544236972928047
14,42,4,24.0,1.2899999618530271,1.6158627271652222,0.1601646095514297
15,42,4,25.0,1.0399999618530271,1.323939323425293,0.0944936946034431
16,42,4,26.0,0.8999999761581421,1.1500344276428225,0.1212262138724327
17,42,4,27.0,0.8100000023841858,0.9523646831512452,0.0790456086397171
18,42,4,28.0,0.7200000286102295,0.7514278888702393,0.0678325891494751
19,42,4,29.0,0.6700000166893005,0.7875633835792542,0.0575801618397235
20,42,4,30.0,0.6200000047683716,0.6668046116828918,0.0749779120087623
21,42,4,31.0,0.5699999928474426,0.8397341370582581,0.0701664686203002
22,42,4,33.0,0.5899999737739563,0.6207563877105713,0.0489743612706661
23,42,4,36.0,1.5700000524520874,1.5685979127883911,0.1456315964460373
24,42,4,37.0,1.440000057220459,1.2982699871063232,0.0825461521744728
25,42,4,38.0,1.2599999904632568,1.1001780033111572,0.1051700860261917
26,42,4,39.0,1.1299999952316284,0.915267288684845,0.0656653568148613
27,42,4,40.0,1.0099999904632568,0.7590296268463135,0.0614333264529705
28,42,4,41.0,0.9100000262260436,0.7977051138877869,0.0503121130168437
29,42,4,42.0,0.8299999833106995,0.6851593255996704,0.0681434720754623
30,42,4,43.0,0.7699999809265137,0.8360715508460999,0.0604715906083583
31,42,2,48.0,1.409999966621399,1.6758954524993896,0.2297871708869934
32,42,2,59.0,0.7300000190734863,0.6933082938194275,0.0561555624008178
33,42,1,66.0,1.0199999809265137,0.9351075887680054,0.0267564877867698
34,42,3,67.0,1.5700000524520874,1.5859270095825195,0.0446639396250247
35,42,3,68.0,1.3300000429153442,1.4192389249801636,0.0356162786483764
36,42,3,72.0,0.9700000286102296,1.0025455951690674,0.0306202359497547
37,42,2,74.0,1.690000057220459,1.534381628036499,0.0368895232677459
38,42,2,75.0,1.440000057220459,1.4289432764053345,0.0189083218574523
39,42,2,80.0,1.0399999618530271,1.104049563407898,0.0309995617717504
40,42,1,89.0,4.785399913787842,1.4550248384475708,0.0883101746439933
41,42,1,97.0,7.039999961853027,2.2039577960968018,0.1341851204633712
42,42,5,104.0,14.06999969482422,2.5704774856567383,0.1197212785482406
43,42,1,138.0,0.5950000286102295,0.4981116056442261,0.045101772993803
44,42,5,150.0,0.2689999938011169,0.4223544597625732,0.0834364593029022
45,42,5,151.0,0.248999997973442,0.3544516563415527,0.075361743569374
46,42,5,152.0,0.2269999980926513,0.3017957210540771,0.0779460072517395
47,42,5,153.0,0.2070000022649765,0.4925843477249145,0.0985216200351715
48,42,2,161.0,0.1309999972581863,0.1289131641387939,0.0730625614523887
49,42,2,162.0,0.1059999987483024,0.106576919555664,0.0766063556075096
50,42,2,163.0,0.0865999981760978,0.1615123748779297,0.0734131038188934
51,42,2,164.0,0.0720999985933303,0.129618763923645,0.068469263613224
52,42,2,165.0,0.0601000003516674,0.1597758531570434,0.0908253416419029
53,42,5,168.0,0.2259999960660934,0.2538731098175049,0.0893285647034645
54,42,5,169.0,0.2140000015497207,0.3470739126205444,0.067991130053997
55,42,5,170.0,0.1990000009536743,0.2657686471939087,0.0630089193582534
56,42,5,171.0,0.1770000010728836,0.2141262292861938,0.0552546568214893
57,42,5,172.0,0.1469999998807907,0.2273063659667968,0.0774149820208549
58,42,5,173.0,0.1230000033974647,0.1689797639846801,0.058412279933691
59,42,5,174.0,0.1110000014305114,0.1729040145874023,0.0636690929532051
60,42,5,175.0,0.0882999971508979,0.280458927154541,0.1004356145858764
61,42,5,176.0,0.0687000006437301,0.2622413635253906,0.0607130974531173
62,42,5,177.0,0.0439000017940998,0.3266270160675049,0.0853483751416206
63,42,5,244.0,0.5910000205039978,0.5513516068458557,0.0288090240210294
64,42,5,245.0,0.5699999928474426,0.5672999024391174,0.0320039540529251
65,42,4,255.0,0.574999988079071,0.6348322629928589,0.0305700823664665
66,42,4,256.0,0.5870000123977661,0.5901986360549927,0.0378037095069885
67,42,1,257.0,2.680000066757202,2.353156566619873,0.0736002922058105
68,42,1,258.0,2.509999990463257,2.083841323852539,0.0583665966987609
69,42,1,259.0,2.309999942779541,1.9377809762954712,0.0606220699846744
70,42,1,260.0,2.1600000858306885,1.8716740608215332,0.0420154780149459
71,42,1,261.0,2.0,1.7544996738433838,0.033008374273777
72,42,1,262.0,1.850000023841858,1.732274055480957,0.0313689298927784
