Index,Random Seed,K_fold,#,Actual,Predicted,Uncertainty
0,88,3,0.0,1835.72998046875,3363.243408203125,164.40818786621094
1,88,3,1.0,1396.3800048828125,3027.578369140625,71.857421875
2,88,3,2.0,1044.9100341796875,2189.00244140625,66.29075622558594
3,88,3,3.0,806.9299926757812,1664.16064453125,38.5157356262207
4,88,3,4.0,627.530029296875,1241.9697265625,36.774391174316406
5,88,3,10.0,259.8771667480469,279.0674743652344,5.861396312713623
6,88,3,11.0,233.73092651367188,282.1449279785156,4.733201026916504
7,88,5,13.0,1802.780029296875,1746.9248046875,55.06853485107422
8,88,5,14.0,1363.4300537109375,1592.67626953125,48.900604248046875
9,88,5,15.0,1044.9100341796875,1098.28662109375,31.245195388793945
10,88,5,16.0,817.9099731445312,696.8492431640625,25.19087028503418
11,88,5,17.0,656.8200073242188,797.9883422851562,25.84635353088379
12,88,5,18.0,536.0,581.287841796875,16.825212478637695
13,88,5,23.0,258.793701171875,265.50360107421875,7.176549434661865
14,88,3,24.0,2923.110107421875,2810.6689453125,78.44499969482422
15,88,3,25.0,2370.27001953125,2264.282958984375,48.714298248291016
16,88,3,26.0,1828.4100341796875,1783.141845703125,41.93196487426758
17,88,3,27.0,1414.68994140625,1402.455322265625,29.20118522644043
18,88,3,28.0,1103.489990234375,1064.419677734375,20.635589599609375
19,88,3,29.0,883.8099975585938,832.4949951171875,16.613452911376953
20,88,3,30.0,678.7899780273438,677.0213012695312,14.326696395874023
21,88,3,31.0,572.6099853515625,576.2399291992188,11.99139404296875
22,88,3,33.0,382.2300109863281,415.2781982421875,7.682230949401856
23,88,5,36.0,2853.090087890625,2788.1552734375,89.60935974121094
24,88,5,37.0,2307.820068359375,2033.103515625,66.10789489746094
25,88,5,38.0,1782.72998046875,1647.76904296875,59.800106048583984
26,88,5,39.0,1386.31005859375,1178.966796875,36.88443374633789
27,88,5,40.0,1076.8800048828125,858.2515258789062,29.630455017089844
28,88,5,41.0,855.52001953125,748.7031860351562,23.993255615234375
29,88,5,42.0,693.5599975585938,575.6401977539062,17.934343338012695
30,88,5,43.0,590.02001953125,476.7732543945313,18.667076110839844
31,88,3,48.0,2696.1201171875,2835.4765625,76.14646911621094
32,88,3,59.0,261.4100036621094,361.4590148925781,6.332116603851318
33,88,3,61.0,7.519999980926514,83.35894775390625,0.9275999665260316
34,88,3,66.0,39.68000030517578,204.45962524414065,2.525740623474121
35,88,2,67.0,97.02999877929688,79.52801513671875,5.782271385192871
36,88,2,68.0,73.29000091552734,71.81048583984375,3.4866487979888916
37,88,2,72.0,45.720001220703125,66.79522705078125,3.0501961708068848
38,88,3,74.0,100.72000122070312,4008.61865234375,115.73527526855467
39,88,3,75.0,92.16000366210938,3468.56103515625,64.06166076660156
40,88,3,80.0,53.2400016784668,2101.193603515625,11.949485778808594
41,88,3,81.0,5.800000190734863,324.2408142089844,14.516854286193848
42,88,4,89.0,12.9399995803833,106.70294189453124,10.048742294311523
43,88,5,97.0,18.239999771118164,13.59747314453125,4.042934894561768
44,88,2,104.0,33.529998779296875,142.2266845703125,10.00880241394043
45,88,2,131.0,31.18000030517578,24.21661376953125,5.2570061683654785
46,88,1,138.0,36.869998931884766,134.584716796875,16.926612854003906
47,88,1,150.0,107.5500030517578,168.5335693359375,5.974363803863525
48,88,1,151.0,113.72000122070312,178.16900634765625,5.356651782989502
49,88,1,152.0,121.73999786376952,197.11843872070312,6.716318130493164
50,88,1,153.0,129.75999450683594,212.08236694335935,7.215456485748291
51,88,5,161.0,142.4199981689453,141.58544921875,5.426906585693359
52,88,5,162.0,155.07000732421875,155.70526123046875,6.6875505447387695
