Index,Random Seed,K_fold,#,Actual,Predicted,Uncertainty
0,42,5,0.0,1835.72998046875,3017.17919921875,285.0489807128906
1,42,5,1.0,1396.3800048828125,2497.641357421875,213.9147796630859
2,42,5,2.0,1044.9100341796875,1999.4603271484375,157.98977661132812
3,42,5,3.0,806.9299926757812,1549.0654296875,114.26464080810548
4,42,5,4.0,627.530029296875,1173.988037109375,82.98516845703125
5,42,5,10.0,259.8771667480469,297.2051696777344,22.613170623779297
6,42,5,11.0,233.73092651367188,256.7948913574219,19.849807739257812
7,42,4,13.0,1802.780029296875,1251.598388671875,137.1875457763672
8,42,4,14.0,1363.4300537109375,965.478515625,107.3051986694336
9,42,4,15.0,1044.9100341796875,724.2073974609375,83.06999206542969
10,42,4,16.0,817.9099731445312,540.1215209960938,62.844215393066406
11,42,4,17.0,656.8200073242188,425.31549072265625,49.17104721069336
12,42,4,18.0,536.0,353.10650634765625,41.52302551269531
13,42,4,23.0,258.793701171875,220.82357788085935,31.052505493164062
14,42,4,24.0,2923.110107421875,2365.966064453125,202.26727294921875
15,42,4,25.0,2370.27001953125,1949.5517578125,159.7156524658203
16,42,4,26.0,1828.4100341796875,1559.971435546875,126.75621795654295
17,42,4,27.0,1414.68994140625,1211.747314453125,101.33758544921876
18,42,4,28.0,1103.489990234375,921.8121948242188,79.96583557128906
19,42,4,29.0,883.8099975585938,706.3087768554688,62.63028717041016
20,42,4,30.0,678.7899780273438,564.6380615234375,51.99238967895508
21,42,4,31.0,572.6099853515625,470.3185424804687,45.55851364135742
22,42,4,33.0,382.2300109863281,348.45465087890625,38.42817687988281
23,42,1,36.0,2853.090087890625,2358.661865234375,181.22250366210935
24,42,1,37.0,2307.820068359375,1960.1773681640625,142.56874084472656
25,42,1,38.0,1782.72998046875,1566.9920654296875,110.99609375
26,42,1,39.0,1386.31005859375,1209.906005859375,85.17220306396484
27,42,1,40.0,1076.8800048828125,915.5682373046876,64.81671142578125
28,42,1,41.0,855.52001953125,705.365234375,49.51304626464844
29,42,1,42.0,693.5599975585938,561.7208251953125,38.7413215637207
30,42,1,43.0,590.02001953125,458.5687255859375,31.899272918701172
31,42,1,48.0,2696.1201171875,2164.1357421875,190.7123565673828
32,42,1,59.0,261.4100036621094,258.9511413574219,23.062097549438477
33,42,4,61.0,7.519999980926514,14.33660888671875,5.461739540100098
34,42,4,66.0,39.68000030517578,24.431640625,3.7410738468170166
35,42,2,67.0,97.02999877929688,187.31317138671875,31.39848899841309
36,42,2,68.0,73.29000091552734,168.56234741210938,27.10445022583008
37,42,2,72.0,45.720001220703125,112.48828125,19.166658401489254
38,42,3,74.0,100.72000122070312,148.47393798828125,47.92499923706055
39,42,3,75.0,92.16000366210938,139.2662353515625,41.48251724243164
40,42,3,80.0,53.2400016784668,94.0906982421875,27.070913314819336
41,42,1,81.0,5.800000190734863,65.90618896484375,35.13445281982422
42,42,1,89.0,12.9399995803833,80.947021484375,10.499024391174316
43,42,5,97.0,18.239999771118164,41.06781005859375,13.301107406616213
44,42,4,104.0,33.529998779296875,22.265380859375,6.901244163513184
45,42,5,131.0,31.18000030517578,55.14349365234375,21.901948928833008
46,42,4,138.0,36.869998931884766,71.30474853515625,13.340960502624512
47,42,2,150.0,107.5500030517578,256.5472106933594,28.34292221069336
48,42,2,151.0,113.72000122070312,251.92083740234375,27.23352813720703
49,42,2,152.0,121.73999786376952,246.8929748535156,26.262666702270508
50,42,2,153.0,129.75999450683594,241.8003845214844,25.435523986816406
51,42,4,161.0,142.4199981689453,109.1646728515625,8.98690414428711
52,42,4,162.0,155.07000732421875,105.3505859375,8.684734344482422
53,42,4,163.0,167.72999572753906,101.75677490234376,8.416216850280762
54,42,4,164.0,180.3699951171875,98.285400390625,8.181921005249023
55,42,4,165.0,186.5399932861328,95.06524658203124,8.009600639343262
56,42,3,168.0,145.1999969482422,114.05657958984376,19.110708236694336
57,42,3,169.0,143.0399932861328,114.62200927734376,18.352575302124023
58,42,3,170.0,147.36000061035156,115.5042724609375,17.69818878173828
59,42,3,171.0,159.0800018310547,116.6240234375,17.19261360168457
60,42,3,172.0,172.66000366210938,118.07708740234376,16.77042007446289
61,42,3,173.0,188.0800018310547,119.59381103515624,16.34467887878418
62,42,3,174.0,200.72999572753903,121.36773681640624,15.996305465698242
63,42,3,175.0,207.8300018310547,123.38836669921876,15.732207298278809
64,42,3,176.0,209.3699951171875,125.9063720703125,15.5946683883667
65,42,3,177.0,219.25,128.919189453125,15.596847534179688
66,42,3,244.0,809.0,720.8258056640625,50.58375930786133
67,42,3,245.0,836.0,703.8690185546875,51.29729080200195
68,42,5,255.0,651.0,788.6585083007812,31.886869430541992
69,42,5,256.0,700.0,771.374267578125,30.697195053100582
70,42,2,257.0,274.79998779296875,679.5745239257812,31.45612335205078
71,42,2,258.0,275.8999938964844,644.8233642578125,28.577960968017575
72,42,2,259.0,274.79998779296875,613.0269775390625,26.51533889770508
73,42,2,260.0,271.70001220703125,584.28173828125,24.839902877807617
74,42,2,261.0,269.70001220703125,565.3521728515625,23.81863784790039
75,42,2,262.0,265.70001220703125,543.5626831054688,22.738393783569336
76,42,2,263.0,259.8999938964844,523.8286743164062,21.849834442138672
77,42,2,264.0,256.20001220703125,507.1246643066406,21.180889129638672
78,42,2,265.0,252.6999969482422,491.0773315429687,20.574554443359375
79,42,2,266.0,250.0,476.68658447265625,20.05002784729004
80,42,2,267.0,246.5,467.2698364257813,19.66804313659668
81,42,2,268.0,244.8999938964844,460.07659912109375,19.293703079223633
82,42,2,269.0,243.1999969482422,450.9240112304687,18.77391242980957
83,42,3,270.0,549.7999877929688,481.2166442871094,18.56932258605957
84,42,3,271.0,533.2999877929688,467.60833740234375,17.028026580810547
85,42,3,272.0,517.9000244140625,457.82330322265625,16.131738662719727
86,42,3,273.0,500.0,446.9563598632813,15.403454780578612
87,42,3,274.0,483.2999877929687,437.5979614257813,14.893874168395996
88,42,3,275.0,464.5,427.1481018066406,14.429265022277832
89,42,3,276.0,450.0,420.5006713867187,14.280451774597168
90,42,3,277.0,439.0,414.9311218261719,14.291139602661133
91,42,3,278.0,426.1000061035156,409.1451110839844,14.353245735168455
92,42,3,279.0,418.6000061035156,403.0785217285156,14.331805229187012
93,42,3,280.0,413.7000122070313,398.4093017578125,14.278695106506348
94,42,3,281.0,409.2000122070313,394.0064392089844,14.196385383605955
95,42,3,282.0,404.5,389.0504760742187,14.125995635986328
96,42,2,283.0,558.0,653.4254760742188,27.329008102416992
97,42,2,284.0,549.7999877929688,622.449951171875,25.26540184020996
98,42,2,285.0,545.5999755859375,594.7671508789062,23.711166381835938
99,42,2,286.0,537.2999877929688,570.7579956054688,22.495454788208008
100,42,2,287.0,529.4000244140625,555.49755859375,21.756223678588867
101,42,2,288.0,521.5999755859375,538.0712890625,20.98601531982422
102,42,2,289.0,517.9000244140625,522.6248779296875,20.408184051513672
103,42,2,290.0,517.9000244140625,509.4573059082031,19.92471694946289
104,42,2,291.0,510.7000122070313,497.8204956054687,19.496280670166016
105,42,2,292.0,507.1000061035156,487.191162109375,19.078962326049805
106,42,2,293.0,500.0,480.1416931152344,18.79066467285156
107,42,2,294.0,500.0,473.981689453125,18.471656799316406
108,42,2,295.0,496.5,465.4707946777344,17.979385375976562
109,42,4,296.0,867.2999877929688,549.8831787109375,20.78215789794922
110,42,4,297.0,856.9000244140625,540.3843994140625,19.473546981811523
111,42,4,298.0,837.5,533.5435180664062,18.60983085632324
112,42,4,299.0,818.2999877929688,527.650146484375,18.053279876708984
113,42,4,300.0,800.0,523.1834106445312,17.753719329833984
114,42,4,301.0,774.0,518.7802734375,17.530643463134766
115,42,4,302.0,750.2000122070312,515.0091552734375,17.434532165527344
116,42,4,303.0,734.2000122070312,510.23638916015625,17.418670654296875
117,42,4,304.0,712.7999877929688,504.79351806640625,17.39663314819336
118,42,4,305.0,698.7999877929688,498.7528076171875,17.338041305541992
119,42,4,306.0,672.9000244140625,495.126220703125,17.265918731689453
120,42,4,307.0,660.5,491.6994018554687,17.17002296447754
121,42,4,308.0,648.5,487.0305786132813,17.037410736083984
122,42,3,309.0,123.12999725341795,161.169921875,7.5871262550354
123,42,3,310.0,111.94000244140624,145.1988525390625,6.9121503829956055
124,42,3,311.0,100.75,129.91705322265625,6.383227348327637
125,42,3,312.0,78.36000061035156,116.76983642578124,5.917013645172119
126,42,3,313.0,67.16000366210938,106.50360107421876,5.564990997314453
127,42,3,314.0,55.970001220703125,99.09881591796876,5.3680572509765625
128,42,3,316.0,33.58000183105469,94.82037353515624,5.260121822357178
129,42,3,318.0,978.9099731445312,1373.5089111328125,77.24320220947266
130,42,3,319.0,881.6900024414062,1223.498046875,66.29460906982422
131,42,3,320.0,784.469970703125,1089.7066650390625,58.97118377685547
132,42,3,321.0,696.5,958.9306640625,52.8465461730957
133,42,3,322.0,608.5399780273438,838.1470336914062,47.498497009277344
134,42,3,323.0,539.219970703125,729.9617309570312,43.245399475097656
135,42,3,324.0,479.0400085449219,629.3150024414062,39.552547454833984
136,42,4,327.0,1627.06005859375,1461.958251953125,114.54470825195312
137,42,4,328.0,1502.06005859375,1290.262451171875,92.89469909667967
138,42,4,329.0,1367.800048828125,1118.6875,75.99781799316406
139,42,4,330.0,1233.5400390625,971.3924560546876,64.30877685546875
140,42,4,331.0,1099.280029296875,840.1058349609375,55.486572265625
141,42,4,332.0,974.280029296875,720.2604370117188,48.610958099365234
142,42,4,333.0,849.280029296875,614.8857421875,43.34763717651367
143,42,4,334.0,742.7999877929688,530.1376953125,40.10147857666016
144,42,4,335.0,673.47998046875,460.6678466796875,37.878665924072266
145,42,4,336.0,1599.280029296875,1542.016357421875,119.01368713378906
146,42,4,337.0,1474.280029296875,1373.9332275390625,97.09951782226562
147,42,4,338.0,1358.5400390625,1205.442626953125,80.29740142822266
148,42,4,339.0,1224.280029296875,1061.775146484375,68.74357604980469
149,42,4,340.0,1099.280029296875,933.9085083007812,59.941532135009766
150,42,4,341.0,974.4099731445312,816.3584594726562,53.33009719848633
151,42,4,342.0,840.02001953125,706.5794677734375,47.85805892944336
152,42,4,343.0,752.1900024414062,614.7534790039062,44.075801849365234
153,42,4,344.0,664.219970703125,542.731689453125,41.898006439208984
154,42,1,345.0,2719.64990234375,1277.676025390625,61.09877395629883
155,42,1,346.0,2474.280029296875,1130.689453125,50.61445236206055
156,42,1,347.0,2219.64990234375,993.5299682617188,42.90309524536133
157,42,1,348.0,1983.5400390625,864.4058837890625,36.62731170654297
158,42,1,349.0,1756.68994140625,748.3887939453125,31.987749099731445
159,42,1,350.0,1529.8399658203125,642.6976928710938,28.69517517089844
160,42,1,351.0,1321.5,553.938720703125,26.579477310180664
161,42,1,352.0,1159.5899658203125,479.7902221679687,25.075416564941406
162,42,1,353.0,1006.8200073242188,423.1113586425781,24.22562026977539
163,42,2,354.0,120.88999938964844,327.6854248046875,33.08695602416992
164,42,2,355.0,105.41000366210938,309.45220947265625,30.27985191345215
165,42,2,356.0,97.09100341796876,294.7900695800781,27.93756103515625
166,42,2,357.0,90.91600036621094,282.2213439941406,25.97884750366211
167,42,2,358.0,83.69300079345703,271.7597351074219,24.352811813354492
168,42,2,359.0,78.5999984741211,263.17474365234375,22.944517135620117
169,42,2,360.0,75.51399993896484,255.83380126953125,21.673015594482425
170,42,2,361.0,73.45999908447266,249.8540954589844,20.536945343017575
171,42,2,362.0,72.43199920654297,244.84234619140625,19.539871215820312
