Index,Random Seed,K_fold,#,Actual,Predicted,Uncertainty
0,1201,1,0.0,1835.72998046875,3909.82958984375,165.21539306640625
1,1201,1,1.0,1396.3800048828125,3058.94775390625,102.15917205810548
2,1201,1,2.0,1044.9100341796875,2256.75634765625,85.20339965820312
3,1201,1,3.0,806.9299926757812,1734.8963623046875,57.599647521972656
4,1201,1,4.0,627.530029296875,1404.94677734375,46.82686996459961
5,1201,1,10.0,259.8771667480469,351.966796875,8.503772735595703
6,1201,1,11.0,233.73092651367188,224.38922119140625,5.970819473266602
7,1201,5,13.0,1802.780029296875,1994.141845703125,67.683837890625
8,1201,5,14.0,1363.4300537109375,1282.0087890625,44.79562759399414
9,1201,5,15.0,1044.9100341796875,1003.1915283203124,33.15193176269531
10,1201,5,16.0,817.9099731445312,756.0921020507812,25.180383682250977
11,1201,5,17.0,656.8200073242188,671.5673217773438,18.40680694580078
12,1201,5,18.0,536.0,521.6687622070312,15.124855995178224
13,1201,5,23.0,258.793701171875,263.4582214355469,7.492024898529053
14,1201,2,24.0,2923.110107421875,2303.62890625,298.4111328125
15,1201,2,25.0,2370.27001953125,1958.1466064453125,219.597412109375
16,1201,2,26.0,1828.4100341796875,1629.0504150390625,181.38101196289065
17,1201,2,27.0,1414.68994140625,1090.466552734375,113.81111145019533
18,1201,2,28.0,1103.489990234375,960.9747924804688,84.98188018798828
19,1201,2,29.0,883.8099975585938,736.1864624023438,65.67745208740234
20,1201,2,30.0,678.7899780273438,620.9590454101562,50.481781005859375
21,1201,2,31.0,572.6099853515625,533.7542724609375,57.14143753051758
22,1201,2,33.0,382.2300109863281,425.5350646972656,38.000732421875
23,1201,4,36.0,2853.090087890625,2375.5,174.85195922851562
24,1201,4,37.0,2307.820068359375,2091.76806640625,113.39582061767578
25,1201,4,38.0,1782.72998046875,1548.462158203125,96.75067901611328
26,1201,4,39.0,1386.31005859375,1233.50390625,69.93973541259766
27,1201,4,40.0,1076.8800048828125,978.274169921875,56.07175064086914
28,1201,4,41.0,855.52001953125,760.4817504882812,40.61460876464844
29,1201,4,42.0,693.5599975585938,520.4627075195312,34.70853042602539
30,1201,4,43.0,590.02001953125,490.6614379882813,31.589675903320312
31,1201,4,48.0,2696.1201171875,2413.793212890625,189.71615600585935
32,1201,4,59.0,261.4100036621094,293.7952575683594,20.668325424194336
33,1201,3,61.0,7.519999980926514,45.3092041015625,9.504755973815918
34,1201,3,66.0,39.68000030517578,51.32232666015625,4.985009670257568
35,1201,4,67.0,97.02999877929688,1589.746826171875,324.983642578125
36,1201,4,68.0,73.29000091552734,466.86138916015625,95.8030242919922
37,1201,4,72.0,45.720001220703125,540.5132446289062,69.97928619384766
38,1201,4,74.0,100.72000122070312,3692.50341796875,253.01345825195312
39,1201,4,75.0,92.16000366210938,1869.218017578125,156.61639404296875
40,1201,4,80.0,53.2400016784668,1189.24658203125,44.551876068115234
41,1201,4,81.0,5.800000190734863,42.9462890625,13.73178005218506
42,1201,3,89.0,12.9399995803833,104.31890869140624,4.954557418823242
43,1201,2,97.0,18.239999771118164,130.19232177734375,21.706756591796875
44,1201,2,104.0,33.529998779296875,90.1827392578125,31.157543182373047
45,1201,2,131.0,31.18000030517578,25.08026123046875,13.290327072143556
46,1201,5,138.0,36.869998931884766,280.6971435546875,35.37908935546875
47,1201,4,150.0,107.5500030517578,197.71316528320312,11.88647174835205
48,1201,4,151.0,113.72000122070312,215.09097290039065,13.37459659576416
49,1201,4,152.0,121.73999786376952,200.8285217285156,10.38803768157959
50,1201,4,153.0,129.75999450683594,227.244873046875,11.77814483642578
51,1201,5,161.0,142.4199981689453,122.03875732421876,3.811993360519409
52,1201,5,162.0,155.07000732421875,134.2969970703125,3.649982929229736
53,1201,5,163.0,167.72999572753906,141.4532470703125,4.586770057678223
54,1201,5,164.0,180.3699951171875,152.02130126953125,5.164586544036865
55,1201,5,165.0,186.5399932861328,186.77688598632812,6.092515468597412
56,1201,5,168.0,145.1999969482422,252.75241088867188,10.980080604553224
57,1201,5,169.0,143.0399932861328,155.191162109375,6.109959602355957
58,1201,5,170.0,147.36000061035156,147.9652099609375,4.936043739318848
59,1201,5,171.0,159.0800018310547,141.0421142578125,4.933963775634766
60,1201,5,172.0,172.66000366210938,182.4576416015625,6.0470404624938965
61,1201,5,173.0,188.0800018310547,186.2662048339844,6.3366217613220215
62,1201,5,174.0,200.72999572753903,155.64202880859375,5.511427879333496
63,1201,5,175.0,207.8300018310547,168.22137451171875,5.292380332946777
64,1201,5,176.0,209.3699951171875,135.95367431640625,5.73622989654541
65,1201,5,177.0,219.25,118.397705078125,5.404143810272217
66,1201,4,244.0,809.0,694.9595947265625,33.4691047668457
67,1201,4,245.0,836.0,747.4329833984375,29.88481903076172
68,1201,5,255.0,651.0,783.565185546875,15.99668025970459
69,1201,5,256.0,700.0,805.7884521484375,16.451032638549805
70,1201,5,257.0,274.79998779296875,557.30322265625,7.4173102378845215
71,1201,5,258.0,275.8999938964844,541.128662109375,7.259971618652344
