Index,Random Seed,K_fold,#,Actual,Predicted,Uncertainty
0,88,5,0.0,0.3928999900817871,0.0566750764846801,0.0047921845689415
1,88,5,1.0,0.4764100015163421,0.1943300366401672,0.0070786415599286
2,88,5,2.0,0.6268500089645386,0.2265822440385818,0.0097407326102256
3,88,5,3.0,0.7659000158309937,0.4642726182937622,0.0154380081221461
4,88,5,4.0,0.895039975643158,0.5340919494628906,0.0157779548317194
5,88,5,10.0,1.1468000411987305,1.1661975383758545,0.0321542136371135
6,88,5,11.0,1.0707000494003296,1.126845359802246,0.0341966450214386
7,88,2,12.0,0.3511599898338318,0.3313362896442413,0.0119804935529828
8,88,2,13.0,0.4800899922847748,0.4284944832324981,0.0077097383327782
9,88,2,14.0,0.6544399857521057,0.5572740435600281,0.0102378418669104
10,88,2,15.0,0.8272500038146973,0.7206282615661621,0.0100208884105086
11,88,2,16.0,0.9955899715423584,0.8461984992027283,0.0138811040669679
12,88,2,17.0,1.1691999435424805,0.9377224445343018,0.0146824214607477
13,88,2,18.0,1.3105000257492063,1.0610536336898804,0.0173734501004219
14,88,2,23.0,1.3558000326156616,1.285202145576477,0.0346913337707519
15,88,5,24.0,0.2578400075435638,0.2589329481124878,0.0088168084621429
16,88,5,25.0,0.3983500003814697,0.435004711151123,0.0107144312933087
17,88,5,26.0,0.548770010471344,0.5452221035957336,0.0160362068563699
18,88,5,27.0,0.7212600111961365,0.6955236196517944,0.0168118942528963
19,88,5,28.0,0.8799800276756287,0.8921657800674438,0.0169325713068246
20,88,5,29.0,1.0119999647140503,1.0631465911865234,0.0200040377676486
21,88,5,30.0,1.1675000190734863,1.1504693031311035,0.0206110943108797
22,88,5,31.0,1.3202999830245972,1.1984790563583374,0.0223739109933376
23,88,5,33.0,1.4782999753952026,1.2576065063476562,0.0266185346990823
24,88,5,36.0,0.2431100010871887,0.2815476953983307,0.0085587874054908
25,88,5,37.0,0.3075000047683716,0.4156023859977722,0.0107037611305713
26,88,5,38.0,0.4302799999713897,0.5764692425727844,0.0174576193094253
27,88,5,39.0,0.5669699907302856,0.7392616271972656,0.0185386221855878
28,88,5,40.0,0.7022600173950195,0.8802735805511475,0.0192407313734293
29,88,5,41.0,0.8376299738883972,1.015949249267578,0.0220851637423038
30,88,5,42.0,0.9749799966812134,1.1205087900161743,0.0224498510360717
31,88,5,43.0,1.1033999919891355,1.1678285598754885,0.0242165774106979
32,88,3,48.0,0.2878000140190124,0.2694924473762512,0.0094588920474052
33,88,3,59.0,1.299299955368042,1.16974139213562,0.0231563225388526
34,88,1,61.0,0.0285999998450279,0.2907175719738006,0.0121409092098474
35,88,1,66.0,0.0798000022768974,0.5629443526268005,0.0119401887059211
36,88,5,67.0,0.1899999976158142,0.0321201682090759,0.0046893903054296
37,88,5,68.0,0.2189999967813491,0.1802685856819152,0.0055536841973662
38,88,5,72.0,0.209999993443489,0.3390336334705353,0.0062619755044579
39,88,5,74.0,0.1449999958276748,0.0234699547290802,0.0019683558493852
40,88,5,75.0,0.1689999997615814,0.1615265607833862,0.0052225971594452
41,88,5,80.0,0.1899999976158142,0.4050478637218475,0.0043274229392409
42,88,2,81.0,0.0201999992132186,0.1065649092197418,0.0041170949116349
43,88,4,89.0,0.0160000007599592,0.074596494436264,0.0102691566571593
44,88,1,97.0,0.017799999564886,0.0751508474349975,0.0044059893116354
45,88,5,104.0,0.0206000003963708,0.0364405810832977,0.0038364792708307
46,88,3,131.0,0.0218000002205371,0.0180431604385375,0.0025607333518564
47,88,4,138.0,0.0144999995827674,0.4004567861557007,0.0807949528098106
48,88,2,150.0,0.1110000014305114,0.1673039197921753,0.007811707444489
49,88,2,151.0,0.1369999945163726,0.2309807389974594,0.0081165013834834
50,88,2,152.0,0.1689999997615814,0.2856501042842865,0.0115821519866585
51,88,2,153.0,0.2029999941587448,0.3398542404174804,0.0169304125010967
52,88,1,161.0,0.2169999927282333,0.1429996788501739,0.0039276876486837
53,88,1,162.0,0.2660000026226043,0.1727160215377807,0.0052834395319223
54,88,1,163.0,0.3260000050067901,0.1908937990665435,0.0068919686600565
55,88,1,164.0,0.382999986410141,0.2668370902538299,0.0064582210034132
56,88,1,165.0,0.4329999983310699,0.2662155628204345,0.0055000465363264
57,88,1,168.0,0.1089999973773956,0.0733968317508697,0.004636853467673
58,88,1,169.0,0.1280000060796737,0.1225442588329315,0.0072481967508792
59,88,1,170.0,0.1599999964237213,0.1148318350315094,0.0051369974389672
60,88,1,171.0,0.1990000009536743,0.1266135573387146,0.0055043594911694
61,88,1,172.0,0.2509999871253967,0.1713047325611114,0.0081851314753293
62,88,1,173.0,0.3129999935626983,0.2068038433790207,0.0078284041956067
63,88,1,174.0,0.3630000054836273,0.2460972964763641,0.0067689707502722
64,88,1,175.0,0.4149999916553497,0.2718313932418823,0.007640519645065
65,88,1,176.0,0.4670000076293945,0.3684583902359009,0.008641087450087
66,88,1,177.0,0.5370000004768372,0.3410081565380096,0.0097384387627244
67,88,5,244.0,2.190000057220459,1.8457493782043457,0.0535972043871879
68,88,5,245.0,2.2200000286102295,1.719577431678772,0.057135596871376
69,88,3,255.0,2.2200000286102295,2.051621913909912,0.0382718965411186
70,88,3,256.0,2.059999942779541,2.0549612045288086,0.0463985502719879
71,88,3,257.0,0.0890000015497207,0.1295282542705536,0.0053727128542959
72,88,3,258.0,0.1099999994039535,0.1493495404720306,0.0059277564287185
73,88,3,259.0,0.1500000059604644,0.1897936463356018,0.0071005555801093
74,88,3,260.0,0.1800000071525573,0.2537651658058166,0.0069120223633944
75,88,3,261.0,0.2199999988079071,0.291738748550415,0.0069347652606666
76,88,3,262.0,0.270000010728836,0.3190354406833648,0.0065280115231871
77,88,3,263.0,0.3100000023841858,0.3586740493774414,0.0080080600455403
78,88,3,264.0,0.3600000143051147,0.4028983116149902,0.007656714413315
79,88,3,265.0,0.4199999868869781,0.4449724555015564,0.0091002834960818
80,88,3,266.0,0.4699999988079071,0.5216275453567505,0.0100198676809668
