model_name,property,random_seed,r2_mean,r2_se,mae_mean,mae_se,rmse_mean,rmse_se
ST CrabNet concat_at_input,k,"1, 42, 88, 123, 1201",0.7764825253859398,0.008812291735509011,0.4380381844079618,0.008697478622591888,1.023555844632453,0.03539397035238333
ST CrabNet tile_at_input,k,"1, 42, 88, 123, 1201",0.783712465726147,0.009727720517180845,0.44199740268294785,0.009885214553663866,1.0070592507060563,0.039367439533781176
ST CrabNet concat_at_output,k,"1, 42, 88, 123, 1201",0.7572381409068454,0.010790761323731992,0.465135270113354,0.009544009525672002,1.0653121162055206,0.037022795743479046
ST CrabNet concat_at_input,ke,"1, 42, 88, 123, 1201",0.43910941908083,0.03446190679429679,0.2862612095777896,0.013973092136875215,0.5028871163974653,0.025029889669838313
ST CrabNet tile_at_input,ke,"1, 42, 88, 123, 1201",0.4179191108328578,0.03464780003356915,0.28771979588366153,0.013020460200774377,0.5104655485793803,0.023692840437471618
ST CrabNet concat_at_output,ke,"1, 42, 88, 123, 1201",0.42513616085779665,0.030214548328288703,0.2864088678879877,0.012456026720864946,0.5097763446393238,0.02349502884353228
ST CrabNet concat_at_input,kl,"1, 42, 88, 123, 1201",0.7148074839328125,0.014182011460347416,0.41525356306817085,0.011664448696197639,0.9263246107560932,0.03070243374248573
ST CrabNet tile_at_input,kl,"1, 42, 88, 123, 1201",0.6958419972628502,0.019913467009876444,0.42011117662432435,0.013812863704568922,0.9502719167340429,0.0344210287437768
ST CrabNet concat_at_output,kl,"1, 42, 88, 123, 1201",0.691366716003949,0.015238252796046894,0.4344982152038407,0.013459568854134227,0.960754137279589,0.026616102344202357
ST CrabNet concat_at_input,sigma,"1, 42, 88, 123, 1201",0.7095080258360319,0.018069038576746622,244.57807469930322,5.099471396005066,514.681742792195,14.418273333261357
ST CrabNet tile_at_input,sigma,"1, 42, 88, 123, 1201",0.7093163034478088,0.015834410513522988,246.54167325438692,4.350924215135089,514.8001549043034,12.100195982900393
ST CrabNet concat_at_output,sigma,"1, 42, 88, 123, 1201",0.6814787862271677,0.018910415140908896,259.44657919314136,5.263902685499524,538.4730987981886,14.795968394733716
ST CrabNet concat_at_input,S,"1, 42, 88, 123, 1201",0.7845266726853872,0.015085577635292027,47.297189083296125,1.1148824421190229,94.3424886572174,3.38903640834791
ST CrabNet tile_at_input,S,"1, 42, 88, 123, 1201",0.7853483566452303,0.01299554942381711,47.4549819772231,1.1170862507112505,94.42846602860683,3.038666513051193
ST CrabNet concat_at_output,S,"1, 42, 88, 123, 1201",0.7661170099754382,0.01655728100444499,49.363683119639724,1.2061345413240017,98.31036164317592,3.46150501765308
ST CrabNet concat_at_input,PF,"1, 42, 88, 123, 1201",0.8189410329146256,0.006806604682560828,2.5525198660097757,0.04463601644768909,4.670081473997215,0.1098021140513287
ST CrabNet tile_at_input,PF,"1, 42, 88, 123, 1201",0.8158504382255947,0.007762925640008316,2.5552096584615818,0.04155243441262306,4.699732074387523,0.11177401258323405
ST CrabNet concat_at_output,PF,"1, 42, 88, 123, 1201",0.8058458656245623,0.00937693002512741,2.7054376666625433,0.051481503095117745,4.81576956655995,0.1278309347972828
ST CrabNet concat_at_input,zT,"1, 42, 88, 123, 1201",0.8237552533698254,0.004993171128564836,0.11102255933497117,0.0018256072166416358,0.18265093288909462,0.003311219089972442
ST CrabNet tile_at_input,zT,"1, 42, 88, 123, 1201",0.8162388427829296,0.004984273022425432,0.11426445779494401,0.001608693138310694,0.1863670706860226,0.0028593436813195536
ST CrabNet concat_at_output,zT,"1, 42, 88, 123, 1201",0.8125362398331931,0.005752074569806778,0.11703950034618409,0.001813383224442275,0.18808575685258908,0.0029372309932292878
