model_name,property,random_seed,r2_mean,r2_se,mae_mean,mae_se,rmse_mean,rmse_se
MT CrabNet RobustL2 concat_at_input 0,k,42,0.8007362882807045,0.02097339618878558,0.4328493915277802,0.017722358954011683,0.9735641814165218,0.07355402190760522
MT CrabNet RobustL1 concat_at_input 0,k,42,0.7900216719308765,0.02262255576282889,0.4320542338101764,0.014507778252896238,0.9992492735690343,0.07467584703628757
MT CrabNet RobustL2 concat_at_input concat_at_attn,k,42,0.7910339200236796,0.021372923177496617,0.4426457813475152,0.013691133902903493,0.9968432687614899,0.07411369431031586
MT CrabNet RobustL1 concat_at_input concat_at_attn,k,42,0.7909938320175061,0.02450651974763804,0.4358023840918939,0.01864741578122489,0.9955386377103181,0.08361985298721053
MT CrabNet RobustL2 concat_at_output 0,k,42,0.7507707216800324,0.04708408357619605,0.45802353333433815,0.021581467927537935,1.078020220860194,0.11952443673413392
MT CrabNet RobustL1 concat_at_output 0,k,42,0.7674780217397237,0.033619531592047724,0.46042589087934466,0.02300962202106834,1.0467551628364438,0.09219370860458312
MT CrabNet RobustL2 concat_at_output concat_at_attn,k,42,0.7858374634860578,0.03678219302839393,0.43817219799366003,0.017157486964494033,1.000180947571673,0.10322839984567816
MT CrabNet RobustL1 concat_at_output concat_at_attn,k,42,0.7513017596656117,0.03704874481162936,0.45986852704001935,0.01651785742699367,1.0810408235081976,0.09880264594382238
MT CrabNet RobustL2 concat_at_input 0,ke,42,0.6675539086696202,0.050785263619473615,0.21509489909254179,0.017316730036012706,0.37781218934141175,0.029083587405944564
MT CrabNet RobustL1 concat_at_input 0,ke,42,0.6771508322216763,0.048876989814710045,0.2062687018309431,0.015535797512579705,0.37297338727905077,0.028731715363375945
MT CrabNet RobustL2 concat_at_input concat_at_attn,ke,42,0.6910050003528306,0.04770571722586874,0.20820380144989695,0.016360680575326324,0.3646441505577037,0.028095615895214646
MT CrabNet RobustL1 concat_at_input concat_at_attn,ke,42,0.6898694922168191,0.04657155982941037,0.21103233232863233,0.01778348707888835,0.36697723393416626,0.032085334086754735
MT CrabNet RobustL2 concat_at_output 0,ke,42,0.6811105851717876,0.045749633072178456,0.21322851763473089,0.013861590021557157,0.36929303735160496,0.023519378318918354
MT CrabNet RobustL1 concat_at_output 0,ke,42,0.6685842606296314,0.039289976098095133,0.215013244449122,0.016687566998512558,0.37865303390256544,0.024895469563631773
MT CrabNet RobustL2 concat_at_output concat_at_attn,ke,42,0.7049604276673644,0.04392924951335261,0.20800695378305,0.020595761056469805,0.36082527831502775,0.03782795382978781
MT CrabNet RobustL1 concat_at_output concat_at_attn,ke,42,0.7039920191341349,0.034161340958444295,0.20295655832973028,0.01595632688539074,0.36164138467917095,0.032043480746182844
MT CrabNet RobustL2 concat_at_input 0,kl,42,0.7582175089296811,0.021080375578235395,0.3735835237902921,0.027950461629891423,0.8620215290783635,0.0745333072829252
MT CrabNet RobustL1 concat_at_input 0,kl,42,0.788099486924754,0.016636214361653072,0.3627789411109824,0.021824531420118025,0.8011605693688365,0.051710930088034526
MT CrabNet RobustL2 concat_at_input concat_at_attn,kl,42,0.7462259209537689,0.01870899162134748,0.3705063293593522,0.028254725531805084,0.8825269380822988,0.06850314648088836
MT CrabNet RobustL1 concat_at_input concat_at_attn,kl,42,0.7580838930627745,0.025590796915156557,0.3698943258805415,0.027344485121882377,0.8577348207314477,0.07188238443824635
MT CrabNet RobustL2 concat_at_output 0,kl,42,0.7483760150647215,0.01787784514338209,0.37744642324433586,0.02992557328502773,0.8821730669322895,0.0762413927123381
MT CrabNet RobustL1 concat_at_output 0,kl,42,0.7255780894236603,0.03236253111989812,0.3956103248022317,0.03138301561319742,0.9096111035081457,0.07990562432599259
MT CrabNet RobustL2 concat_at_output concat_at_attn,kl,42,0.7537416187413788,0.01850824696472001,0.3715042034651989,0.020877630992791055,0.866186086481717,0.05995059889709193
MT CrabNet RobustL1 concat_at_output concat_at_attn,kl,42,0.7191905336070293,0.026697744236486243,0.3978752914296833,0.02687807585818971,0.9232309069567204,0.07048190906648405
