model_name,property,random_seed,r2_mean,r2_se,mae_mean,mae_se,rmse_mean,rmse_se
MT CrabNet concat_at_input concat_at_attn,k,42,0.7910339200236796,0.021372923177496617,0.4426457813475152,0.013691133902903493,0.9968432687614899,0.07411369431031586
MT CrabNet concat_at_input 0,k,42,0.8007362882807045,0.02097339618878558,0.4328493915277802,0.017722358954011683,0.9735641814165218,0.07355402190760522
MT CrabNet concat_at_input 1,k,42,0.7874278921939754,0.029114090314455162,0.4371785959475547,0.018360827122882804,1.0021310451368612,0.09100773411728445
MT CrabNet concat_at_input 2,k,42,0.7524763379565514,0.031057701002870905,0.4472630222007462,0.020169044219950052,1.08509576267613,0.0941968783555148
MT CrabNet concat_at_input 3,k,42,0.5553856087043021,0.061095477920678876,0.5301150849125621,0.027267003199092053,1.4534677345857834,0.13984915882439639
MT CrabNet concat_at_input 4,k,42,0.2861379584824712,0.025988938699836688,0.8741961346785668,0.013000772238345676,1.8477734422538088,0.070896680968716
MT CrabNet tile_at_input concat_at_attn,k,42,0.7870189678760027,0.026146548386770614,0.4423201700141373,0.017344852200932192,1.0043335603319479,0.08247171236583109
MT CrabNet tile_at_input 0,k,42,0.791026421355533,0.02765480758825125,0.43989310646322394,0.01816969987247504,0.9948794717636819,0.08489562013850803
MT CrabNet tile_at_input 1,k,42,0.7867626601252261,0.0231079298134285,0.4414562617555582,0.015574106810452494,1.0061749232693686,0.0751123555811449
MT CrabNet tile_at_input 2,k,42,0.7696271086566098,0.026063625001127914,0.44301753303595925,0.018030931016666994,1.0482107478247458,0.08719151890431767
MT CrabNet tile_at_input 3,k,42,0.5398647289914025,0.06336123142516766,0.5378204458666415,0.02861202551174383,1.4779555878070862,0.14337807933549584
MT CrabNet tile_at_input 4,k,42,0.2221151075853453,0.03723125939215305,0.8863431620317543,0.014877464183089233,1.930586138267688,0.09231637046870653
MT CrabNet concat_at_output concat_at_attn,k,42,0.7858374634860578,0.03678219302839393,0.43817219799366003,0.017157486964494033,1.000180947571673,0.10322839984567816
MT CrabNet concat_at_output 0,k,42,0.7507707216800324,0.04708408357619605,0.45802353333433815,0.021581467927537935,1.078020220860194,0.11952443673413392
MT CrabNet concat_at_output 1,k,42,0.7321343833706523,0.038101846844625364,0.4779245010444604,0.01973287029311727,1.1260690233321822,0.10508956995377523
MT CrabNet concat_at_output 2,k,42,0.7230641517275114,0.04099959596392374,0.4668530641194355,0.023629571874137903,1.144063415847326,0.10901578568411212
MT CrabNet concat_at_output 3,k,42,0.6380148253064355,0.04800525924137879,0.4971263320817916,0.020636817892509412,1.3112243792543024,0.12102352067202164
MT CrabNet concat_at_output 4,k,42,0.21366328526300643,0.013615332483463128,1.0203362214600162,0.024996558456517933,1.940480534580948,0.06832519214571704
MT CrabNet concat_at_input concat_at_attn,ke,42,0.6910050003528306,0.04770571722586874,0.20820380144989695,0.016360680575326324,0.3646441505577037,0.028095615895214646
MT CrabNet concat_at_input 0,ke,42,0.6675539086696202,0.050785263619473615,0.21509489909254179,0.017316730036012706,0.37781218934141175,0.029083587405944564
MT CrabNet concat_at_input 1,ke,42,0.6560412518096553,0.05388212171894334,0.21540600786590874,0.013501481883531712,0.38049958550504936,0.021243383155229816
MT CrabNet concat_at_input 2,ke,42,0.6478342560322274,0.06629627680870007,0.22308230896654288,0.019494159706624166,0.3865775803191599,0.035169619526083926
MT CrabNet concat_at_input 3,ke,42,0.6507358179572195,0.03644862521760593,0.22636123857168408,0.01652728525599425,0.3937739555985511,0.03385283718083706
MT CrabNet concat_at_input 4,ke,42,0.4003610436994208,0.07021909732206778,0.32853189251397774,0.025433300347907205,0.5192318156292346,0.05524191191591353
MT CrabNet tile_at_input concat_at_attn,ke,42,0.6924687787916645,0.04228463088531232,0.20757720250880443,0.014488031628303014,0.3646262984646264,0.027120666846694858
MT CrabNet tile_at_input 0,ke,42,0.6581805294263956,0.05750099007372469,0.21606795100780057,0.0168977497626285,0.3833910965521423,0.0320999869981786
MT CrabNet tile_at_input 1,ke,42,0.6848752814015044,0.05862685632298475,0.21019080137280577,0.01963621729058258,0.3669665349926311,0.03356239084377769
MT CrabNet tile_at_input 2,ke,42,0.6865544340679108,0.052611412137507405,0.2137855311604692,0.01908987377126238,0.36837218910791575,0.03409533480754993
MT CrabNet tile_at_input 3,ke,42,0.6624622234430017,0.040245812338450974,0.2233967090311751,0.01713599487974525,0.3868205064928768,0.03609785367762283
MT CrabNet tile_at_input 4,ke,42,0.3065286356566219,0.043986708743656316,0.3442327737740422,0.02045837739001634,0.5549824191545376,0.03906783789855897
MT CrabNet concat_at_output concat_at_attn,ke,42,0.7049604276673644,0.04392924951335261,0.20800695378305,0.020595761056469805,0.36082527831502775,0.03782795382978781
MT CrabNet concat_at_output 0,ke,42,0.6811105851717876,0.045749633072178456,0.21322851763473089,0.013861590021557157,0.36929303735160496,0.023519378318918354
MT CrabNet concat_at_output 1,ke,42,0.6656151377201217,0.03303271824731526,0.2179729964442863,0.013431405374822649,0.38155469970124445,0.023161874836946074
MT CrabNet concat_at_output 2,ke,42,0.640168862423115,0.03464933878950198,0.22487542017130346,0.01626839709762835,0.3978716173568449,0.02931469042995058
MT CrabNet concat_at_output 3,ke,42,0.6203231282625764,0.04532622172710641,0.22709907255420864,0.01678214108110918,0.40792723466171027,0.031210735098364917
MT CrabNet concat_at_output 4,ke,42,0.37281458809518153,0.06617773738635026,0.3317558528052816,0.02313302894201572,0.5306982372292478,0.05264536914235782
MT CrabNet concat_at_input concat_at_attn,kl,42,0.7462259209537689,0.01870899162134748,0.3705063293593522,0.028254725531805084,0.8825269380822988,0.06850314648088836
MT CrabNet concat_at_input 0,kl,42,0.7582175089296811,0.021080375578235395,0.3735835237902921,0.027950461629891423,0.8620215290783635,0.0745333072829252
MT CrabNet concat_at_input 1,kl,42,0.7553788485227658,0.025563720841621652,0.3749523803073913,0.024579101828871814,0.8651358239433579,0.07767132236652191
MT CrabNet concat_at_input 2,kl,42,0.7503584205625764,0.036953473974989215,0.37581514956735,0.035302853145295784,0.8719953229190687,0.09583921301758094
MT CrabNet concat_at_input 3,kl,42,0.3283522204640402,0.08937386221132707,0.6298506180967648,0.07421601654690484,1.4349617951374818,0.15938020804914216
MT CrabNet concat_at_input 4,kl,42,0.12163674722205746,0.020742553363230692,0.8988925227160408,0.07608211168459444,1.6415473868651322,0.10132323146651043
MT CrabNet tile_at_input concat_at_attn,kl,42,0.7367299512317218,0.02430718945200228,0.37938741449244806,0.02445099193403671,0.8924420090521415,0.06527379668030721
MT CrabNet tile_at_input 0,kl,42,0.7389939791364678,0.026715493286387296,0.38933213716552806,0.035585837736246954,0.8969024637009252,0.08586459694321186
MT CrabNet tile_at_input 1,kl,42,0.7226902494930327,0.0324172386332557,0.3901129404921602,0.036812928436138974,0.925278994171444,0.09909283971606607
MT CrabNet tile_at_input 2,kl,42,0.7399822683047484,0.016940526644353304,0.3846444903413767,0.03038887192722129,0.8961690244001608,0.07369698580495444
MT CrabNet tile_at_input 3,kl,42,0.3245013374284379,0.08409145664781673,0.6268410993874964,0.07674955547237541,1.4416061051630358,0.1563154137879349
MT CrabNet tile_at_input 4,kl,42,0.11724769843226276,0.023193638626912424,0.8714380391803838,0.0805669257034513,1.6474583589573264,0.10802571283870387
MT CrabNet concat_at_output concat_at_attn,kl,42,0.7537416187413788,0.01850824696472001,0.3715042034651989,0.020877630992791055,0.866186086481717,0.05995059889709193
MT CrabNet concat_at_output 0,kl,42,0.7483760150647215,0.01787784514338209,0.37744642324433586,0.02992557328502773,0.8821730669322895,0.0762413927123381
MT CrabNet concat_at_output 1,kl,42,0.7252066226724528,0.0255290602541545,0.3932466645713907,0.03079936167608259,0.9205127967386899,0.08500000691484567
MT CrabNet concat_at_output 2,kl,42,0.7409259683726165,0.013777815571016996,0.38337010298818536,0.02331165879218467,0.8919415624328225,0.06305507002438211
MT CrabNet concat_at_output 3,kl,42,0.6689179319529122,0.03638384479332814,0.4186766877658938,0.029988993568840376,1.0044197922933316,0.08932629474775002
MT CrabNet concat_at_output 4,kl,42,0.0272158217223043,0.04058607597922192,1.0775315066796465,0.10614573327696555,1.7292495072257026,0.1182920143503984
MT CrabNet concat_at_input concat_at_attn,sigma,42,0.7360513067959334,0.02451054490063987,237.60383221100741,6.745217010381083,495.6646245508614,28.89301774479268
MT CrabNet concat_at_input 0,sigma,42,0.7336857166935633,0.034873351279864115,233.54668450730355,6.9116538969005825,495.50509819980624,36.07379240432441
MT CrabNet concat_at_input 1,sigma,42,0.7271170456764997,0.03128991577409931,234.96645706036543,6.909187774567468,501.911055565457,31.815544161201736
