model_name,property,random_seed,r2_mean,r2_se,mae_mean,mae_se,rmse_mean,rmse_se
ST CrabNet concat_at_input,k,"1, 42, 88, 123, 1201",0.7764825253859398,0.008812291735509,0.4380381844079618,0.0086974786225918,1.023555844632453,0.0353939703523833
ST CrabNet tile_at_input,k,"1, 42, 88, 123, 1201",0.783712465726147,0.0097277205171808,0.4419974026829478,0.0098852145536638,1.0070592507060565,0.0393674395337811
ST CrabNet concat_at_output,k,"1, 42, 88, 123, 1201",0.7572381409068454,0.0107907613237319,0.465135270113354,0.009544009525672,1.0653121162055206,0.037022795743479
ST CrabNet concat_at_input,ke,"1, 42, 88, 123, 1201",0.43910941908083,0.0344619067942967,0.2862612095777896,0.0139730921368752,0.5028871163974653,0.0250298896698383
ST CrabNet tile_at_input,ke,"1, 42, 88, 123, 1201",0.4179191108328578,0.0346478000335691,0.2877197958836615,0.0130204602007743,0.5104655485793803,0.0236928404374716
ST CrabNet concat_at_output,ke,"1, 42, 88, 123, 1201",0.4251361608577966,0.0302145483282887,0.2864088678879877,0.0124560267208649,0.5097763446393238,0.0234950288435322
ST CrabNet concat_at_input,kl,"1, 42, 88, 123, 1201",0.7148074839328125,0.0141820114603474,0.4152535630681708,0.0116644486961976,0.9263246107560932,0.0307024337424857
ST CrabNet tile_at_input,kl,"1, 42, 88, 123, 1201",0.6958419972628502,0.0199134670098764,0.4201111766243243,0.0138128637045689,0.9502719167340428,0.0344210287437768
ST CrabNet concat_at_output,kl,"1, 42, 88, 123, 1201",0.691366716003949,0.0152382527960468,0.4344982152038407,0.0134595688541342,0.960754137279589,0.0266161023442023
ST CrabNet concat_at_input,sigma,"1, 42, 88, 123, 1201",0.7095080258360319,0.0180690385767466,244.5780746993032,5.099471396005066,514.681742792195,14.418273333261356
ST CrabNet tile_at_input,sigma,"1, 42, 88, 123, 1201",0.7093163034478088,0.0158344105135229,246.54167325438692,4.350924215135089,514.8001549043034,12.100195982900392
ST CrabNet concat_at_output,sigma,"1, 42, 88, 123, 1201",0.6814787862271677,0.0189104151409088,259.44657919314136,5.263902685499524,538.4730987981886,14.795968394733716
ST CrabNet concat_at_input,S,"1, 42, 88, 123, 1201",0.7845266726853872,0.015085577635292,47.297189083296125,1.1148824421190229,94.3424886572174,3.38903640834791
ST CrabNet tile_at_input,S,"1, 42, 88, 123, 1201",0.7853483566452303,0.0129955494238171,47.4549819772231,1.1170862507112505,94.42846602860683,3.038666513051193
ST CrabNet concat_at_output,S,"1, 42, 88, 123, 1201",0.7661170099754382,0.0165572810044449,49.36368311963973,1.2061345413240017,98.31036164317592,3.46150501765308
ST CrabNet concat_at_input,PF,"1, 42, 88, 123, 1201",0.8189410329146256,0.0068066046825608,2.5525198660097757,0.044636016447689,4.670081473997215,0.1098021140513287
ST CrabNet tile_at_input,PF,"1, 42, 88, 123, 1201",0.8158504382255947,0.0077629256400083,2.5552096584615818,0.041552434412623,4.699732074387523,0.111774012583234
ST CrabNet concat_at_output,PF,"1, 42, 88, 123, 1201",0.8058458656245623,0.0093769300251274,2.7054376666625433,0.0514815030951177,4.81576956655995,0.1278309347972828
ST CrabNet concat_at_input,zT,"1, 42, 88, 123, 1201",0.8237552533698254,0.0049931711285648,0.1110225593349711,0.0018256072166416,0.1826509328890946,0.0033112190899724
ST CrabNet tile_at_input,zT,"1, 42, 88, 123, 1201",0.8162388427829296,0.0049842730224254,0.114264457794944,0.0016086931383106,0.1863670706860226,0.0028593436813195
ST CrabNet concat_at_output,zT,"1, 42, 88, 123, 1201",0.8125362398331931,0.0057520745698067,0.117039500346184,0.0018133832244422,0.188085756852589,0.0029372309932292
MT CrabNet concat_at_input,k,"1, 42, 88, 123, 1201",0.7974709923835079,0.0089730883199913,0.4364161002189677,0.0073572871596913,0.972831251736379,0.0315702083079584
MT CrabNet tile_at_input,k,"1, 42, 88, 123, 1201",0.7893947120284847,0.0111272184212743,0.4296455036478919,0.0076900613020832,0.9953228861632628,0.0403803507061326
MT CrabNet concat_at_output,k,"1, 42, 88, 123, 1201",0.7965523076122616,0.0110795660332815,0.4378132263463514,0.0089959545318505,0.975043530365716,0.0365598539496203
MT CrabNet concat_at_input,ke,"1, 42, 88, 123, 1201",0.6505473356703757,0.0205989606594363,0.2193522968496099,0.006933002576677,0.391082248687541,0.0118880403577747
MT CrabNet tile_at_input,ke,"1, 42, 88, 123, 1201",0.6430586838049364,0.0214632278513643,0.2192361376078538,0.0073540568125168,0.3955431341051514,0.0132804338545689
MT CrabNet concat_at_output,ke,"1, 42, 88, 123, 1201",0.6478144116726752,0.0205284644538774,0.2238692152286375,0.0077675502228146,0.3950247222455839,0.0144771776591665
MT CrabNet concat_at_input,kl,"1, 42, 88, 123, 1201",0.7566837353474919,0.012800363265095,0.3746325825476924,0.013229107075153,0.8595375814509005,0.0342469663316424
MT CrabNet tile_at_input,kl,"1, 42, 88, 123, 1201",0.7421090670514715,0.0143193679346287,0.3817094635183705,0.0133360927460973,0.8835306688132474,0.0362453145073733
MT CrabNet concat_at_output,kl,"1, 42, 88, 123, 1201",0.7474045021985976,0.0151699090039208,0.3814755455332222,0.013070877822518,0.8733221060299218,0.0358382942777949
MT CrabNet concat_at_input,sigma,"1, 42, 88, 123, 1201",0.7315928894678781,0.0158330916791158,235.3930698358397,4.391814812039865,494.3983964795767,14.452040445576957
MT CrabNet tile_at_input,sigma,"1, 42, 88, 123, 1201",0.722171112238012,0.0155839882983023,235.96896253335473,4.031533945751846,503.22971470476966,13.878328987968718
MT CrabNet concat_at_output,sigma,"1, 42, 88, 123, 1201",0.733033251489871,0.0132844863654308,241.60389159237883,4.372005908272145,494.8442306569633,13.43659724415926
MT CrabNet concat_at_input,S,"1, 42, 88, 123, 1201",0.8066993039758573,0.0116035307744075,45.34725631598885,0.8438874995755967,89.71504241811192,2.619474991483289
MT CrabNet tile_at_input,S,"1, 42, 88, 123, 1201",0.8109296798095076,0.0083356939671931,44.811313875526885,0.743589294822852,89.07429801501524,2.0529167301750477
MT CrabNet concat_at_output,S,"1, 42, 88, 123, 1201",0.7808171908893616,0.015124638787712,48.12614599640428,1.029337517365677,95.2337739964101,3.122792604447761
MT CrabNet concat_at_input,PF,"1, 42, 88, 123, 1201",0.8326994084496154,0.0066133284094348,2.4638299051379886,0.044815506116365,4.48805087448535,0.10993083936608
MT CrabNet tile_at_input,PF,"1, 42, 88, 123, 1201",0.8254498258336683,0.0078866201214398,2.476114639318412,0.0525756955800634,4.580368800696055,0.1268116479441137
MT CrabNet concat_at_output,PF,"1, 42, 88, 123, 1201",0.8213182116132012,0.0066214116918659,2.577933618805393,0.0422878052532383,4.635484899635788,0.1027257241955544
MT CrabNet concat_at_input,zT,"1, 42, 88, 123, 1201",0.8291741108820374,0.0065853082340845,0.1075498317981957,0.0017435801121313,0.1801799836908139,0.0045118430012827
MT CrabNet tile_at_input,zT,"1, 42, 88, 123, 1201",0.823307643372213,0.0071714776340164,0.1088863921324809,0.0015918920943036,0.182884247051827,0.004294238024211
MT CrabNet concat_at_output,zT,"1, 42, 88, 123, 1201",0.823463655264988,0.0061593672303266,0.1110591627633017,0.0016690404868069,0.1830510627448438,0.0037363165442699
