model_name,property,random_seed,r2_mean,r2_se,mae_mean,mae_se,rmse_mean,rmse_se
MT CrabNet matscibert concat_at_input,k,42,0.7910339200236796,0.021372923177496617,0.4426457813475152,0.013691133902903493,0.9968432687614899,0.07411369431031586
MT CrabNet mat2vec concat_at_input,k,42,0.7871554473773295,0.021860855640354317,0.44922072665032076,0.017111805949849287,1.0063445351033453,0.07418122453363077
MT CrabNet oliynyk concat_at_input,k,42,0.7871554473773295,0.021860855640354317,0.44922072665032076,0.017111805949849287,1.0063445351033453,0.07418122453363077
MT CrabNet matscibert tile_at_input,k,42,0.7870189678760027,0.026146548386770614,0.4423201700141373,0.017344852200932192,1.0043335603319479,0.08247171236583109
MT CrabNet mat2vec tile_at_input,k,42,0.7789756822048304,0.022904440460165248,0.4433264867500382,0.014982289811976324,1.0229472039996845,0.07405749326683546
MT CrabNet oliynyk tile_at_input,k,42,0.7789756822048304,0.022904440460165248,0.4433264867500382,0.014982289811976324,1.0229472039996845,0.07405749326683546
MT CrabNet matscibert concat_at_output,k,42,0.7858374634860578,0.03678219302839393,0.43817219799366003,0.017157486964494033,1.000180947571673,0.10322839984567816
MT CrabNet mat2vec concat_at_output,k,42,0.7871294870542402,0.02910533896275769,0.4467380958043149,0.01914397663676767,1.0020494035874594,0.0896252567197366
MT CrabNet oliynyk concat_at_output,k,42,0.7871294870542402,0.02910533896275769,0.4467380958043149,0.01914397663676767,1.0020494035874594,0.0896252567197366
MT CrabNet matscibert concat_at_input,ke,42,0.6910050003528306,0.04770571722586874,0.20820380144989695,0.016360680575326324,0.3646441505577037,0.028095615895214646
MT CrabNet mat2vec concat_at_input,ke,42,0.6964376761823635,0.044603390165904123,0.20728574554499152,0.015425727864661464,0.36254816736383677,0.030533597152299415
MT CrabNet oliynyk concat_at_input,ke,42,0.6964376761823635,0.044603390165904123,0.20728574554499152,0.015425727864661464,0.36254816736383677,0.030533597152299415
MT CrabNet matscibert tile_at_input,ke,42,0.6924687787916645,0.04228463088531232,0.20757720250880443,0.014488031628303014,0.3646262984646264,0.027120666846694858
MT CrabNet mat2vec tile_at_input,ke,42,0.6995770758758401,0.03914968263381547,0.20757967258437965,0.017609520096172757,0.3640244253720675,0.032970588991094056
MT CrabNet oliynyk tile_at_input,ke,42,0.6995770758758401,0.03914968263381547,0.20757967258437965,0.017609520096172757,0.3640244253720675,0.032970588991094056
MT CrabNet matscibert concat_at_output,ke,42,0.7049604276673644,0.04392924951335261,0.20800695378305,0.020595761056469805,0.36082527831502775,0.03782795382978781
MT CrabNet mat2vec concat_at_output,ke,42,0.6596844851725574,0.02634008175625723,0.21632099445390027,0.009884759164636013,0.3873148880593348,0.026219160808251603
MT CrabNet oliynyk concat_at_output,ke,42,0.6596844851725574,0.02634008175625723,0.21632099445390027,0.009884759164636013,0.3873148880593348,0.026219160808251603
MT CrabNet matscibert concat_at_input,kl,42,0.7462259209537689,0.01870899162134748,0.3705063293593522,0.028254725531805084,0.8825269380822988,0.06850314648088836
