model_name,property,random_seed,r2_mean,r2_se,mae_mean,mae_se,rmse_mean,rmse_se
Random Forest,k,"1, 42, 88, 123, 1201",0.7488621568492617,0.0199185056829596,0.4981768306081433,0.0105883512711013,1.064896774958259,0.0451101060349914
Random Forest,ke,"1, 42, 88, 123, 1201",0.494669794198207,0.0216951281702252,0.2880459237365358,0.0107641021009345,0.4764959943851017,0.0187937623188693
Random Forest,kl,"1, 42, 88, 123, 1201",0.7142407803138687,0.0166727540197158,0.4282162675326318,0.0130642214415571,0.922538764025558,0.030852308950588
Random Forest,sigma,"1, 42, 88, 123, 1201",0.6709344584330645,0.0130873562848947,285.3532195611558,5.3591621121339355,551.2041756818865,13.875936994551282
Random Forest,S,"1, 42, 88, 123, 1201",0.7973981633952952,0.008611507866603,53.65383468353792,1.4209903826511856,92.17393694695302,2.059472369702033
Random Forest,PF,"1, 42, 88, 123, 1201",0.8169805368815319,0.0080888734155957,2.7805259978688266,0.0453756073387424,4.6737721361041045,0.0990422517352129
Random Forest,zT,"1, 42, 88, 123, 1201",0.7907207820499812,0.0090829472527187,0.1235382264480748,0.0024785124439055,0.1987059288614025,0.0052373277892572
DopNet,k,"1, 42, 88, 123, 1201",0.7230409646480392,0.0084046768561189,0.5231322208924631,0.0105449726642095,1.1437950035327122,0.0399686713412333
DopNet,ke,"1, 42, 88, 123, 1201",0.4673373619294096,0.0198487525000233,0.2815643093236602,0.0100091946745866,0.4914192758936127,0.0197231476936095
DopNet,kl,"1, 42, 88, 123, 1201",0.7084774503223342,0.0129239537285852,0.4307994437716455,0.0129556468767947,0.938410052264857,0.0276214454784643
DopNet,sigma,"1, 42, 88, 123, 1201",0.5553602143873824,0.0480270919603169,286.6039824971465,16.74026098712138,625.7738502539418,30.3116194934395
DopNet,S,"1, 42, 88, 123, 1201",0.7662401717311433,0.0132128803479123,52.29014982805578,1.7512344617869418,98.75543201773026,2.82706708485183
DopNet,PF,"1, 42, 88, 123, 1201",0.8023114841390979,0.0086975705973157,2.7054555804204607,0.0440181807570114,4.863965164947988,0.1152172733922849
DopNet,zT,"1, 42, 88, 123, 1201",0.7855435666504539,0.0053030999918542,0.1291281493508052,0.0021681573034702,0.2014635573468103,0.0030853476107817
ST CrabNet concat_at_input,k,"1, 42, 88, 123, 1201",0.7764825253859398,0.008812291735509,0.4380381844079618,0.0086974786225918,1.023555844632453,0.0353939703523833
ST CrabNet tile_at_input,k,"1, 42, 88, 123, 1201",0.783712465726147,0.0097277205171808,0.4419974026829478,0.0098852145536638,1.0070592507060565,0.0393674395337811
ST CrabNet concat_at_output,k,"1, 42, 88, 123, 1201",0.7572381409068454,0.0107907613237319,0.465135270113354,0.009544009525672,1.0653121162055206,0.037022795743479
ST CrabNet concat_at_input,ke,"1, 42, 88, 123, 1201",0.43910941908083,0.0344619067942967,0.2862612095777896,0.0139730921368752,0.5028871163974653,0.0250298896698383
ST CrabNet tile_at_input,ke,"1, 42, 88, 123, 1201",0.4179191108328578,0.0346478000335691,0.2877197958836615,0.0130204602007743,0.5104655485793803,0.0236928404374716
ST CrabNet concat_at_output,ke,"1, 42, 88, 123, 1201",0.4251361608577966,0.0302145483282887,0.2864088678879877,0.0124560267208649,0.5097763446393238,0.0234950288435322
ST CrabNet concat_at_input,kl,"1, 42, 88, 123, 1201",0.7148074839328125,0.0141820114603474,0.4152535630681708,0.0116644486961976,0.9263246107560932,0.0307024337424857
ST CrabNet tile_at_input,kl,"1, 42, 88, 123, 1201",0.6958419972628502,0.0199134670098764,0.4201111766243243,0.0138128637045689,0.9502719167340428,0.0344210287437768
ST CrabNet concat_at_output,kl,"1, 42, 88, 123, 1201",0.691366716003949,0.0152382527960468,0.4344982152038407,0.0134595688541342,0.960754137279589,0.0266161023442023
ST CrabNet concat_at_input,sigma,"1, 42, 88, 123, 1201",0.7095080258360319,0.0180690385767466,244.5780746993032,5.099471396005066,514.681742792195,14.418273333261356
ST CrabNet tile_at_input,sigma,"1, 42, 88, 123, 1201",0.7093163034478088,0.0158344105135229,246.54167325438692,4.350924215135089,514.8001549043034,12.100195982900392
